gaitPhase	soleus_r	med_gas_r	lat_gas_r	tib_ant_r	
0.00	99.92	4.00	20.29	0.01	
0.00	92.32	3.69	18.75	0.01	
0.00	87.08	3.49	17.69	0.01	
0.00	85.85	3.44	17.38	0.01	
0.00	93.56	3.74	18.98	0.01	
0.00	101.23	4.04	20.49	0.01	
0.00	113.82	4.53	23.03	0.01	
0.00	129.00	5.13	26.08	0.02	
0.00	140.35	5.58	28.38	0.02	
0.00	150.49	5.97	30.44	0.02	
0.00	165.06	6.57	33.39	0.02	
0.00	180.92	7.22	36.62	0.01	
0.00	189.02	7.49	38.23	0.01	
0.00	204.19	8.09	41.32	0.01	
0.00	232.26	9.23	46.96	0.01	
0.00	263.28	10.46	53.25	0.01	
0.00	294.54	11.69	59.59	0.01	
0.00	311.05	12.38	62.94	0.00	
0.00	314.32	12.50	63.55	0.00	
0.00	311.65	12.36	62.73	0.00	
0.00	307.34	12.22	62.14	0.00	
0.00	298.14	11.86	60.26	0.00	
0.00	283.13	11.26	57.23	0.00	
0.00	277.25	11.04	56.10	0.00	
0.00	291.55	11.61	58.98	0.00	
0.00	325.21	12.94	65.77	0.00	
0.00	357.00	14.21	72.19	0.00	
0.00	361.12	14.38	73.04	0.00	
0.00	328.20	13.07	66.40	0.00	
0.00	265.66	10.58	53.81	0.00	
0.00	236.49	9.42	47.88	0.00	
0.00	312.93	12.47	63.36	0.00	
0.00	443.61	17.66	89.73	0.00	
0.00	550.29	21.91	111.38	0.00	
0.00	593.10	23.60	120.01	0.01	
0.00	588.96	23.43	119.23	0.29	
0.00	585.64	23.31	118.50	3.43	
0.00	638.32	25.41	129.17	5.75	
0.00	737.47	29.36	149.22	7.16	
0.00	835.29	33.23	168.99	7.77	
0.00	850.87	33.86	172.27	7.69	
0.00	796.31	31.70	161.13	7.29	
0.00	715.11	28.45	144.68	7.53	
0.00	641.98	25.54	129.91	8.27	
0.00	590.30	23.49	119.42	8.42	
0.00	488.65	19.45	98.97	8.83	
0.00	312.25	12.43	63.23	9.28	
0.00	144.33	5.74	29.25	9.30	
0.00	52.19	2.10	10.63	9.39	
0.00	17.68	0.71	3.61	12.37	
0.00	5.89	0.25	1.10	11.44	
0.00	30.36	1.22	6.21	8.40	
0.00	174.89	6.97	35.41	15.90	
0.00	367.91	14.65	74.45	14.61	
0.00	563.78	22.45	114.08	18.23	
0.00	789.78	31.43	159.79	11.72	
0.00	875.60	34.86	177.17	22.69	
0.00	869.13	34.57	175.95	13.30	
0.00	732.76	29.17	148.25	19.29	
0.00	668.31	26.60	135.23	5.56	
0.00	639.03	25.44	129.31	9.91	
0.00	642.52	25.57	130.00	17.92	
0.00	621.93	24.74	125.76	2.02	
0.00	433.73	17.26	87.74	0.00	
0.00	347.19	13.81	70.22	0.00	
0.00	429.52	17.10	86.89	0.00	
0.00	447.26	17.80	90.48	0.00	
0.00	458.97	18.26	92.82	0.00	
0.00	460.28	18.32	93.10	0.00	
0.00	415.13	16.49	83.91	0.01	
0.00	374.42	14.90	75.80	0.01	
0.00	348.37	13.86	70.45	0.01	
0.00	335.35	13.35	67.84	0.01	
0.00	324.34	12.95	65.65	0.00	
0.00	311.82	12.39	63.14	0.28	
0.00	299.53	11.92	60.61	6.41	
0.00	287.48	11.44	58.17	15.18	
0.00	277.68	11.06	56.20	23.06	
0.00	272.35	10.84	55.14	29.66	
0.00	269.79	10.74	54.59	34.72	
0.00	269.86	10.75	54.62	38.60	
0.00	271.47	10.81	54.95	41.51	
0.00	266.68	10.62	53.98	42.76	
0.00	257.40	10.25	52.10	43.41	
0.00	246.36	9.81	49.89	44.29	
0.00	232.28	9.25	47.02	44.80	
0.00	220.74	8.79	44.69	44.42	
0.00	215.66	8.59	43.67	43.08	
0.00	214.04	8.53	43.35	41.44	
0.00	214.41	8.54	43.43	39.88	
0.00	216.56	8.63	43.87	37.42	
0.00	218.17	8.69	44.18	33.10	
0.00	214.24	8.53	43.38	27.27	
0.00	209.14	8.33	42.34	22.06	
0.00	205.49	8.18	41.62	17.17	
0.00	202.20	8.05	40.96	11.49	
0.00	196.60	7.82	39.82	4.39	
0.00	188.58	7.49	38.34	0.15	
0.00	180.10	7.18	36.43	0.03	
0.00	169.97	6.78	34.42	0.02	
