gaitPhase	soleus_r	med_gas_r	lat_gas_r	tib_ant_r	
1.00	145.42	5.84	29.47	5.40	
2.00	146.22	5.82	29.62	0.12	
3.00	152.76	6.10	30.89	0.03	
4.00	159.03	6.40	32.14	0.48	
5.00	166.15	6.66	33.62	3.96	
6.00	159.02	6.35	32.20	6.66	
7.00	117.89	4.72	23.89	7.72	
8.00	69.32	2.78	14.06	8.02	
9.00	33.34	1.36	6.79	9.52	
10.00	8.54	0.36	1.65	12.89	
11.00	0.39	0.03	0.05	15.31	
12.00	0.00	0.00	0.00	18.64	
13.00	0.00	0.00	0.00	20.51	
14.00	0.00	0.00	0.00	25.31	
15.00	3.75	0.16	0.77	19.72	
16.00	27.09	1.10	5.50	23.05	
17.00	40.89	1.63	8.29	32.50	
18.00	107.38	4.28	21.67	18.39	
19.00	172.62	6.87	34.96	33.69	
20.00	304.72	12.14	61.69	25.49	
21.00	500.94	19.98	101.43	10.46	
22.00	726.87	28.96	147.16	0.39	
23.00	938.63	37.39	190.08	0.00	
24.00	1103.87	43.95	223.37	0.00	
25.00	1231.21	49.01	249.08	0.00	
26.00	1321.57	52.62	267.44	0.00	
27.00	1407.43	56.03	284.73	0.00	
28.00	1479.95	58.92	299.40	0.00	
29.00	1528.85	60.89	309.42	0.00	
30.00	1557.64	62.02	315.27	0.00	
31.00	1568.82	62.45	317.37	0.00	
32.00	1564.19	62.28	316.51	0.00	
33.00	1556.65	61.98	314.98	0.00	
34.00	1558.07	62.03	315.27	0.00	
35.00	1566.88	62.38	317.07	0.00	
36.00	1579.86	62.88	319.61	0.00	
37.00	1586.89	63.17	321.04	0.00	
38.00	1589.19	63.27	321.55	0.00	
39.00	1598.91	63.67	323.66	0.00	
40.00	1605.71	63.95	325.09	0.00	
41.00	1604.27	63.90	324.85	0.00	
42.00	1608.85	64.03	325.39	0.00	
43.00	1624.08	64.65	328.59	0.00	
44.00	1650.10	65.69	333.84	0.00	
45.00	1687.20	67.17	341.34	0.00	
46.00	1737.75	69.19	351.64	0.00	
47.00	1782.29	70.96	360.67	0.00	
48.00	1816.24	72.31	367.54	0.00	
49.00	1846.15	73.50	373.57	0.00	
50.00	1863.17	74.18	377.00	0.00	
51.00	1860.55	74.08	376.46	0.00	
52.00	1838.75	73.21	372.06	0.00	
53.00	1798.50	71.61	363.90	0.00	
54.00	1737.71	69.18	351.63	0.00	
55.00	1664.91	66.29	336.90	0.00	
56.00	1581.10	62.95	319.92	0.00	
57.00	1477.93	58.86	299.06	0.00	
58.00	1357.53	54.07	274.83	0.00	
59.00	1216.70	48.46	246.34	0.00	
60.00	1054.67	41.98	213.30	0.00	
61.00	883.16	35.18	178.76	0.00	
62.00	718.47	28.61	145.35	3.54	
63.00	577.55	23.00	116.92	14.64	
64.00	455.13	18.13	92.15	19.52	
65.00	347.67	13.86	70.40	21.97	
66.00	247.92	9.92	50.19	24.70	
67.00	168.17	6.72	34.10	28.38	
68.00	103.36	4.14	20.95	30.96	
69.00	59.57	2.40	12.10	40.14	
70.00	40.82	1.64	8.29	51.93	
71.00	37.22	1.49	7.55	64.46	
72.00	36.69	1.47	7.44	64.38	
73.00	33.72	1.35	6.79	59.48	
74.00	21.00	0.88	4.28	48.69	
75.00	10.08	0.41	2.05	37.72	
76.00	0.08	0.01	0.02	39.97	
77.00	0.00	0.00	0.00	45.71	
78.00	0.06	0.02	0.04	23.51	
79.00	5.40	0.24	1.04	15.86	
80.00	3.05	0.12	0.60	17.03	
81.00	0.43	0.05	0.10	18.42	
82.00	0.00	0.00	0.00	19.69	
83.00	0.00	0.00	0.00	18.57	
84.00	0.47	0.04	0.08	16.21	
85.00	3.60	0.16	0.69	15.55	
86.00	10.83	0.43	2.20	15.22	
87.00	27.35	1.11	5.58	14.35	
88.00	46.00	1.84	9.32	13.59	
89.00	51.85	2.08	10.49	11.54	
90.00	59.75	2.39	12.10	8.71	
91.00	76.92	3.12	15.52	5.07	
92.00	106.91	4.29	21.63	6.15	
93.00	144.46	5.80	29.18	5.94	
94.00	179.80	7.19	36.38	0.05	
95.00	190.98	7.64	38.67	2.75	
96.00	201.08	8.04	40.74	11.34	
97.00	208.03	8.34	42.19	9.93	
98.00	210.24	8.42	42.59	10.22	
99.00	215.47	8.64	43.69	9.55	
100.00	214.81	8.59	43.45	9.39	
