gaitPhase	pelvis_tilt_moment	pelvis_list_moment	pelvis_rotation_moment	pelvis_tx_force	pelvis_ty_force	pelvis_tz_force	hip_flexion_r_moment	hip_adduction_r_moment	hip_rotation_r_moment	hip_flexion_l_moment	hip_adduction_l_moment	hip_rotation_l_moment	lumbar_extension_moment	lumbar_bending_moment	lumbar_rotation_moment	knee_angle_r_moment	knee_angle_l_moment	ankle_angle_r_moment	ankle_angle_l_moment	subtalar_angle_r_moment	subtalar_angle_l_moment	mtp_angle_r_moment	mtp_angle_l_moment	
0.00	33.34	9.89	9.94	108.42	84.88	47.94	7.45	5.58	4.52	25.84	5.47	1.95	20.59	14.30	13.00	7.76	10.83	15.16	5.46	3.65	1.78	0.00	0.09	
0.00	41.53	25.39	12.65	364.70	134.43	96.60	7.25	6.64	2.96	10.49	7.77	4.48	57.27	20.26	13.42	8.31	10.94	16.85	4.94	3.47	1.97	0.01	0.03	
0.00	37.17	43.20	13.04	171.30	119.47	43.54	4.69	9.16	2.98	18.99	10.79	4.82	34.68	29.86	6.96	8.93	9.85	17.68	6.07	3.54	1.66	0.00	0.03	
0.00	69.37	56.91	38.90	683.71	730.01	86.57	18.69	15.98	2.74	15.29	10.86	3.62	113.55	25.92	24.20	10.55	8.03	18.10	6.67	3.83	1.74	0.01	0.01	
0.00	51.89	12.88	21.86	84.82	133.33	107.14	12.68	11.04	2.25	16.72	9.76	4.62	50.46	9.65	13.20	10.52	16.22	19.23	8.03	4.58	1.80	0.01	0.05	
0.00	95.16	51.15	40.71	347.11	376.24	117.29	28.21	9.48	4.55	8.01	8.00	4.28	71.65	24.54	22.08	11.65	16.48	20.07	8.19	5.00	1.60	0.01	0.05	
0.00	33.32	15.70	11.21	115.18	131.54	33.02	37.91	5.57	7.14	17.22	6.23	4.84	36.16	9.51	7.39	17.30	8.13	16.36	9.87	3.47	1.71	0.01	0.02	
0.00	50.54	12.40	25.17	103.80	118.06	47.18	38.71	10.88	9.80	14.29	11.78	6.34	30.85	9.73	20.64	24.19	12.59	16.60	13.55	2.28	2.30	0.06	0.04	
0.00	34.54	21.03	19.05	79.20	100.11	49.28	43.72	11.15	11.08	20.22	21.41	6.38	38.16	22.38	18.97	25.56	14.39	12.55	18.10	2.05	2.68	0.05	0.02	
0.00	21.45	10.16	9.97	54.15	77.80	43.79	42.50	8.85	9.78	18.03	12.56	4.51	19.84	23.89	5.82	17.70	21.81	5.41	18.40	2.59	2.04	0.02	0.01	
