gaitPhase	pelvis_tilt_moment	pelvis_list_moment	pelvis_rotation_moment	pelvis_tx_force	pelvis_ty_force	pelvis_tz_force	hip_flexion_r_moment	hip_adduction_r_moment	hip_rotation_r_moment	hip_flexion_l_moment	hip_adduction_l_moment	hip_rotation_l_moment	lumbar_extension_moment	lumbar_bending_moment	lumbar_rotation_moment	knee_angle_r_moment	knee_angle_l_moment	ankle_angle_r_moment	ankle_angle_l_moment	subtalar_angle_r_moment	subtalar_angle_l_moment	mtp_angle_r_moment	mtp_angle_l_moment	
0.00	157.31	302.77	243.69	529.52	630.34	2233.17	54.04	91.97	9.90	24.08	60.47	8.22	35.61	119.88	12.27	7.84	4.63	8.47	1.10	2.12	1.06	0.03	0.04	
0.00	111.89	221.63	165.96	362.02	442.70	1472.35	34.66	65.76	5.94	18.02	44.36	5.82	27.74	91.24	10.18	6.54	5.12	7.42	2.31	1.93	1.47	0.02	0.03	
0.00	77.68	146.37	111.55	247.86	297.57	1010.16	24.77	42.58	4.46	18.32	29.51	4.15	20.27	60.58	6.25	4.89	5.94	6.82	2.87	1.72	1.69	0.02	0.03	
0.00	95.58	170.18	129.78	293.47	342.01	1164.92	27.94	50.56	4.65	19.87	33.59	4.62	23.72	70.10	6.73	4.80	6.36	6.91	3.27	1.78	1.68	0.02	0.08	
0.00	150.59	286.13	222.85	459.31	578.15	1997.76	45.07	86.31	7.33	25.91	57.47	7.37	39.63	114.53	12.17	6.39	9.98	7.88	4.12	2.10	1.76	0.03	0.16	
0.00	149.47	295.19	225.45	458.20	583.88	1991.40	47.54	84.72	6.95	26.84	55.97	7.07	37.76	123.00	15.96	8.76	7.00	9.53	6.23	2.74	2.79	0.03	0.10	
0.00	115.48	175.46	137.58	287.35	367.23	1221.14	29.94	52.57	3.84	27.59	34.90	4.11	33.57	72.22	10.60	7.10	11.18	11.13	7.71	3.37	2.69	0.02	0.11	
0.00	77.54	138.46	100.71	210.33	263.73	874.69	22.18	39.52	3.20	19.42	29.47	4.39	27.97	60.45	9.90	6.53	10.55	12.33	7.30	3.78	2.42	0.02	0.05	
0.00	119.41	195.23	151.89	310.97	418.82	1303.68	28.93	57.14	4.47	31.48	39.13	6.42	40.38	85.27	14.10	7.34	7.08	13.06	7.55	3.99	2.50	0.03	0.05	
0.00	161.84	290.58	224.51	432.35	615.30	1899.24	37.12	87.06	6.34	32.94	48.95	6.57	50.29	123.88	17.05	8.82	8.04	13.03	9.30	4.19	3.09	0.04	0.02	
0.00	193.72	321.33	254.78	469.74	716.00	2207.89	40.42	98.21	6.42	30.33	53.54	8.06	57.59	131.10	14.12	7.82	11.34	12.28	10.07	4.14	3.32	0.04	0.02	
0.00	150.06	204.85	175.48	345.74	487.02	1509.33	33.16	65.76	7.15	25.40	36.68	6.09	56.96	82.43	13.07	6.36	11.23	11.81	10.85	3.90	3.66	0.03	0.01	
0.00	174.41	236.33	210.18	471.36	593.47	1879.59	47.34	70.55	8.49	33.94	36.05	6.91	54.49	98.02	13.11	6.53	10.44	11.15	11.60	3.79	4.28	0.03	0.01	
0.00	80.86	75.37	64.12	178.53	222.18	551.70	17.90	19.50	5.53	14.82	13.30	5.89	57.77	36.64	18.47	5.46	12.15	10.81	12.00	3.54	4.88	0.03	0.01	
0.00	53.91	31.11	26.37	91.94	124.62	201.13	9.75	9.10	4.46	10.19	9.13	6.19	41.95	21.36	14.50	4.24	12.77	10.83	12.39	3.52	5.23	0.02	0.01	
0.00	60.12	26.99	21.17	86.01	130.33	143.91	9.96	7.22	3.00	9.45	7.33	6.47	43.49	17.96	13.78	3.49	13.50	10.57	12.41	3.45	5.51	0.02	0.01	
0.00	55.00	27.18	18.73	93.42	117.67	124.13	8.56	7.06	2.92	12.01	8.85	6.76	45.64	19.13	13.69	2.95	14.73	10.91	12.12	3.38	5.66	0.02	0.00	
0.00	53.56	24.54	18.70	102.52	143.65	128.56	9.45	7.38	3.32	11.23	8.59	6.68	44.61	17.07	10.47	3.54	15.28	10.94	11.77	3.45	5.70	0.02	0.01	
0.00	162.59	160.10	146.08	354.98	485.94	1308.22	31.79	51.47	6.04	24.98	25.34	6.37	59.35	65.03	13.71	5.14	17.04	10.72	11.39	3.59	5.61	0.02	0.01	
0.00	122.74	153.86	127.99	300.41	386.02	1153.03	24.88	49.53	4.50	21.55	26.72	7.52	45.49	63.84	10.71	5.12	17.36	10.45	11.03	3.58	5.48	0.02	0.01	
0.00	158.30	185.10	157.28	368.90	501.06	1429.16	26.85	59.74	5.03	25.31	30.52	7.59	51.92	76.37	10.71	4.83	16.22	10.11	10.73	3.67	5.34	0.01	0.01	
0.00	160.74	193.84	164.95	370.12	482.12	1489.34	28.37	62.37	5.41	25.98	31.57	6.82	57.83	78.92	10.86	4.94	16.40	9.55	10.46	3.77	5.24	0.01	0.02	
0.00	188.50	260.24	212.57	499.30	627.89	1926.55	31.88	84.09	5.71	26.11	45.71	7.89	57.70	108.45	10.77	5.60	16.19	8.90	10.35	3.88	5.11	0.01	0.02	
0.00	183.75	234.49	192.33	468.99	580.72	1749.33	30.44	74.24	6.28	28.98	42.51	8.10	55.94	98.42	10.38	5.36	14.30	8.27	10.38	4.08	4.90	0.01	0.02	
0.00	152.04	202.77	163.44	419.41	439.35	1472.72	26.08	64.22	5.00	26.35	37.04	7.51	50.39	84.66	8.58	5.40	13.55	7.47	10.21	4.32	4.70	0.01	0.01	
0.00	172.78	224.11	181.25	498.17	507.82	1675.94	30.04	71.49	6.02	26.03	41.20	7.22	53.45	94.04	8.54	5.24	11.69	6.79	10.12	4.47	4.36	0.01	0.02	
0.00	202.40	246.44	206.13	604.26	524.01	1855.94	36.88	78.95	6.90	30.51	46.77	8.24	65.40	103.36	9.30	6.38	9.66	5.99	10.04	4.76	3.96	0.01	0.02	
0.00	156.34	237.36	179.54	509.00	477.31	1630.90	19.16	76.51	3.61	22.30	49.72	7.81	52.51	96.45	8.73	5.38	9.87	5.17	9.91	5.04	3.61	0.01	0.02	
0.00	61.78	84.31	64.57	198.43	207.66	580.64	10.23	27.20	3.13	13.69	19.02	4.69	29.75	35.20	4.76	4.39	9.84	4.52	9.65	5.22	3.26	0.01	0.01	
0.00	32.73	40.59	24.91	124.65	113.34	224.47	10.30	13.93	3.83	12.61	9.33	4.23	25.90	17.28	3.59	5.96	9.72	3.92	9.44	5.35	2.91	0.01	0.01	
0.00	31.00	24.64	15.86	129.46	121.59	142.43	10.65	10.43	4.08	12.59	8.67	3.92	26.08	10.49	3.87	6.05	9.15	3.37	9.27	5.38	2.56	0.01	0.01	
0.00	28.37	14.71	8.79	75.67	93.14	67.15	12.46	9.21	4.76	11.14	5.65	3.36	21.46	10.29	5.21	6.17	8.10	2.85	9.26	5.34	2.28	0.02	0.01	
0.00	21.72	14.33	11.54	67.08	78.95	62.62	11.27	9.44	5.02	10.98	6.28	3.13	16.60	10.49	5.23	5.20	7.10	2.29	9.39	5.17	2.04	0.02	0.01	
0.00	25.38	13.23	8.79	66.50	106.77	50.48	10.70	8.91	4.95	13.58	6.78	2.76	21.01	9.59	4.81	6.17	7.11	1.76	9.61	4.91	1.89	0.01	0.01	
0.00	22.18	11.97	7.47	50.56	98.81	45.59	10.03	9.02	4.79	11.92	6.69	2.40	17.97	10.62	5.03	5.09	6.15	1.42	10.08	4.59	1.91	0.01	0.01	
0.00	23.46	12.81	7.64	54.49	121.13	37.02	9.85	9.36	5.18	10.66	5.93	2.15	22.33	9.95	5.11	4.61	6.25	1.28	10.45	4.14	1.99	0.01	0.01	
0.00	22.90	13.07	7.73	41.69	117.89	32.77	9.78	10.02	5.11	10.33	6.56	1.89	20.99	8.89	6.28	4.17	6.39	1.48	10.73	3.68	2.09	0.02	0.02	
0.00	20.67	11.55	7.26	40.16	109.44	37.22	9.38	8.68	4.83	9.21	6.27	1.99	22.62	10.48	6.19	4.39	5.68	1.78	10.77	3.14	2.06	0.01	0.02	
0.00	17.27	13.16	6.32	27.53	97.88	30.81	10.62	7.93	4.55	8.45	6.46	2.12	17.18	9.33	5.43	4.92	5.32	2.13	10.66	2.56	2.07	0.01	0.02	
0.00	19.61	16.03	7.94	32.22	103.28	39.17	10.08	9.26	4.67	9.78	6.52	2.04	20.55	12.58	7.81	4.30	6.45	2.42	10.37	2.00	2.03	0.01	0.02	
0.00	22.32	24.69	10.34	34.81	87.25	56.87	8.44	10.20	4.65	10.37	6.71	2.14	20.94	21.06	11.75	4.10	6.34	2.60	9.80	1.45	1.85	0.01	0.02	
0.00	28.04	32.07	12.99	41.42	67.34	64.21	7.47	10.37	4.06	10.29	5.39	2.23	24.09	25.36	14.52	4.02	5.67	2.60	9.42	0.91	1.61	0.01	0.02	
0.00	31.65	39.09	15.28	51.63	83.17	63.59	6.99	11.54	3.93	10.86	4.83	2.27	29.02	28.66	18.52	4.16	6.15	2.47	9.17	0.42	1.55	0.01	0.01	
0.00	35.17	45.97	15.23	57.24	86.43	77.48	7.40	9.82	3.73	9.77	5.38	2.38	31.77	36.50	19.34	3.80	5.74	2.21	8.87	0.32	1.57	0.02	0.02	
0.00	33.18	42.22	17.08	54.63	100.70	75.72	6.46	12.25	3.84	9.57	5.43	2.27	30.92	30.93	18.94	2.74	5.77	1.92	8.65	0.67	1.54	0.02	0.01	
0.00	38.14	45.74	18.11	58.90	114.28	78.10	7.29	10.91	2.02	8.40	5.56	2.42	34.58	34.64	21.25	2.90	5.57	0.96	8.59	0.40	1.63	0.02	0.02	
0.00	23.05	24.98	10.86	45.94	107.16	56.65	6.35	7.87	0.92	8.94	4.11	2.29	23.34	19.65	11.49	2.22	5.55	0.46	8.37	0.23	1.66	0.02	0.02	
0.00	25.06	26.37	10.08	47.40	96.97	49.83	6.49	8.39	1.07	10.37	4.75	2.31	22.80	18.59	9.87	2.66	5.80	0.63	8.19	0.23	1.58	0.03	0.01	
0.00	20.68	15.18	7.66	36.95	91.58	42.02	6.84	7.91	0.99	9.14	4.71	2.23	18.59	11.19	6.94	2.78	4.89	0.85	7.74	0.31	1.33	0.04	0.01	
0.00	21.81	16.96	7.13	54.70	113.47	47.27	11.86	9.40	2.01	7.35	5.44	1.76	21.03	12.99	7.08	4.13	4.08	1.22	7.09	0.49	1.28	0.04	0.01	
0.00	22.92	16.16	9.92	55.32	111.59	60.64	19.78	10.49	2.79	10.33	5.02	1.64	19.09	9.78	6.52	6.88	4.67	2.12	6.49	1.05	1.23	0.03	0.02	
0.00	29.78	15.43	10.87	51.24	126.84	60.47	20.32	9.98	2.60	8.02	5.24	1.58	21.15	9.76	5.96	7.68	4.09	3.06	5.58	1.25	1.20	0.06	0.02	
0.00	25.85	15.35	12.68	58.39	123.82	72.03	20.95	10.94	2.66	8.30	4.84	1.30	21.81	8.96	7.62	11.23	3.39	4.87	4.48	1.41	1.06	0.17	0.02	
0.00	33.33	18.83	11.73	63.43	174.65	75.83	27.36	12.88	2.58	8.79	6.87	1.24	27.56	8.93	8.05	14.81	3.60	4.86	2.90	1.45	0.75	0.21	0.03	
0.00	40.64	27.77	18.80	104.20	221.12	121.02	33.03	15.64	3.08	16.29	11.81	2.43	27.79	10.80	8.14	15.58	7.63	6.84	1.39	1.59	0.50	0.20	0.03	
0.00	45.84	29.67	15.30	57.85	176.02	104.82	23.75	18.77	3.95	15.12	11.90	2.43	26.37	14.13	10.28	14.34	8.61	10.78	0.70	1.89	0.37	0.20	0.04	
0.00	68.39	98.69	63.19	211.71	223.86	603.63	24.73	35.84	5.57	15.55	20.15	3.10	27.60	39.02	11.03	20.34	5.78	10.99	0.61	2.01	0.18	0.16	0.03	
0.00	69.94	95.35	70.58	245.88	198.02	667.37	28.76	37.71	6.14	17.04	16.12	2.21	32.37	40.65	10.70	18.66	7.07	9.38	0.67	2.26	0.19	0.05	0.04	
0.00	65.59	53.41	42.73	191.64	165.67	406.51	34.45	18.78	6.64	14.76	12.01	2.30	35.98	28.69	11.72	11.83	6.37	9.33	0.73	2.83	0.18	0.04	0.04	
0.00	60.59	88.90	59.67	225.74	168.50	563.65	29.64	31.88	7.35	13.04	13.79	2.02	35.15	41.59	12.09	12.26	8.45	9.93	0.77	3.37	0.17	0.02	0.04	
0.00	82.90	52.12	48.71	203.65	140.17	465.56	21.16	19.01	6.75	12.54	10.02	1.47	62.80	24.35	11.47	17.07	5.53	10.47	0.55	3.48	0.24	0.02	0.03	
0.00	75.72	48.70	34.95	190.27	145.41	322.55	15.39	20.43	5.41	10.07	8.02	1.23	67.47	25.03	10.22	14.83	5.67	11.19	0.48	3.79	0.16	0.02	0.03	
0.00	71.31	109.75	72.93	245.37	176.16	704.27	14.03	39.39	6.03	8.67	17.27	1.93	59.86	45.63	12.52	11.04	4.68	11.93	0.42	4.06	0.14	0.01	0.02	
0.00	109.95	159.42	115.60	349.51	245.66	1162.37	26.97	55.95	7.75	15.18	22.78	2.03	54.68	64.93	12.58	11.53	8.64	12.65	0.64	4.26	0.27	0.01	0.04	
0.00	88.26	201.22	140.94	389.12	302.11	1392.99	22.80	71.15	6.53	11.89	31.57	3.35	43.17	80.14	15.91	10.99	5.10	13.23	0.48	4.36	0.24	0.01	0.02	
0.00	130.09	212.75	156.58	465.18	328.03	1607.20	28.98	73.21	9.00	20.77	31.18	3.17	48.53	85.05	14.67	10.60	5.97	13.43	0.60	4.34	0.38	0.01	0.02	
0.00	108.22	226.52	166.22	485.90	329.87	1676.64	24.58	81.20	7.74	16.74	34.61	3.80	34.92	91.55	15.46	11.55	5.00	13.46	0.55	4.47	0.35	0.01	0.02	
0.00	127.03	267.51	186.70	495.07	436.55	1888.94	26.80	92.53	7.99	18.12	39.92	3.68	39.94	110.35	15.74	11.97	6.60	13.16	0.59	4.60	0.34	0.01	0.03	
0.00	160.71	317.64	229.15	618.67	549.11	2384.45	34.28	109.88	10.84	24.30	45.64	3.97	40.57	130.96	19.04	13.08	7.75	12.66	0.78	4.63	0.42	0.01	0.03	
0.00	157.67	326.53	226.84	589.38	558.79	2365.30	31.89	112.11	10.20	21.77	48.28	4.40	46.45	132.58	14.81	12.90	7.30	12.12	0.66	4.70	0.40	0.01	0.02	
0.00	149.48	241.21	185.24	484.84	451.48	1968.62	32.81	83.83	10.33	23.13	34.87	3.97	48.84	95.45	15.57	12.59	9.41	11.57	0.63	4.88	0.42	0.01	0.02	
0.00	111.17	208.57	149.72	372.87	373.84	1583.91	25.06	72.09	8.15	16.16	30.65	3.43	41.83	85.08	13.35	12.92	7.32	11.10	0.56	4.80	0.28	0.01	0.03	
0.00	124.80	203.71	155.96	386.82	387.52	1641.05	28.65	72.08	8.01	18.40	29.34	3.48	47.74	79.45	17.13	11.98	9.46	10.63	0.64	4.91	0.36	0.01	0.03	
0.00	90.58	171.39	122.45	284.21	334.15	1278.60	21.41	58.38	6.72	12.99	24.81	3.04	34.23	68.48	11.42	12.26	6.42	10.13	0.47	4.78	0.25	0.01	0.02	
0.00	61.69	128.59	85.96	212.33	267.55	876.23	16.27	42.22	6.29	11.52	20.81	3.65	31.46	51.86	9.34	11.50	5.32	9.69	0.39	4.48	0.19	0.01	0.02	
0.00	78.39	115.73	88.12	226.04	259.05	936.78	21.43	40.32	6.62	13.92	17.00	3.58	27.22	45.16	8.59	11.48	5.05	9.11	0.40	4.25	0.22	0.01	0.02	
0.00	66.53	78.97	58.17	163.33	227.37	627.76	16.51	27.41	5.78	16.40	14.43	4.88	24.61	30.33	7.75	11.38	6.38	8.57	0.38	4.00	0.20	0.01	0.02	
0.00	40.35	24.16	18.01	75.39	105.33	162.52	11.61	8.57	5.26	19.36	13.95	6.01	20.41	10.11	7.38	11.68	7.04	7.93	0.25	3.70	0.19	0.01	0.02	
