gaitPhase	pelvis_tilt	pelvis_list	pelvis_rotation	pelvis_tx	pelvis_ty	pelvis_tz	hip_flexion_r	hip_adduction_r	hip_rotation_r	knee_angle_r	ankle_angle_r	subtalar_angle_r	mtp_angle_r	hip_flexion_l	hip_adduction_l	hip_rotation_l	knee_angle_l	ankle_angle_l	subtalar_angle_l	mtp_angle_l	lumbar_extension	lumbar_bending	lumbar_rotation	
1.00	4.18	-0.57	1.14	0.11	0.97	0.07	-5.03	-3.05	-17.33	-2.47	5.40	14.09	0.00	-4.42	-5.85	-5.95	-4.86	6.97	3.22	0.00	-16.28	-0.39	4.18	
2.00	3.65	-0.62	1.11	0.11	0.97	0.07	-4.38	-3.00	-17.15	-2.56	5.35	13.91	0.00	-3.71	-5.91	-5.72	-5.08	6.96	3.00	0.00	-15.78	-0.39	4.19	
3.00	3.00	-0.67	1.05	0.11	0.97	0.07	-3.56	-2.96	-16.97	-2.70	5.33	13.76	0.00	-2.80	-5.97	-5.48	-5.41	7.01	2.74	0.00	-15.20	-0.39	4.21	
4.00	2.19	-0.73	0.98	0.11	0.97	0.07	-2.52	-2.93	-16.80	-2.89	5.31	13.61	0.00	-1.69	-6.03	-5.32	-5.77	7.03	2.57	0.00	-14.50	-0.38	4.22	
5.00	1.23	-0.79	0.86	0.11	0.97	0.07	-1.24	-2.91	-16.63	-3.15	5.30	13.52	0.00	-0.38	-6.09	-5.29	-6.16	7.06	2.47	0.00	-13.70	-0.38	4.26	
6.00	0.11	-0.84	0.72	0.11	0.97	0.07	0.26	-2.91	-16.52	-3.50	5.32	13.52	0.00	1.15	-6.16	-5.38	-6.61	7.13	2.52	0.00	-12.82	-0.38	4.30	
7.00	-1.12	-0.90	0.57	0.11	0.97	0.07	1.98	-2.93	-16.48	-3.97	5.35	13.59	0.00	2.86	-6.27	-5.65	-7.12	7.21	2.74	0.00	-11.92	-0.38	4.33	
8.00	-2.45	-0.95	0.40	0.10	0.96	0.07	3.92	-2.97	-16.51	-4.58	5.42	13.76	0.00	4.75	-6.38	-6.02	-7.73	7.34	3.07	0.00	-11.02	-0.38	4.37	
9.00	-3.84	-0.99	0.25	0.10	0.96	0.08	5.99	-3.05	-16.65	-5.33	5.54	14.01	0.00	6.79	-6.50	-6.44	-8.46	7.50	3.50	0.00	-10.16	-0.39	4.35	
10.00	-5.27	-1.01	0.15	0.10	0.96	0.08	8.21	-3.17	-16.88	-6.22	5.71	14.33	0.00	9.02	-6.64	-6.90	-9.38	7.73	4.05	0.00	-9.37	-0.42	4.26	
11.00	-6.69	-1.01	-0.01	0.09	0.96	0.08	10.53	-3.33	-17.04	-7.29	5.96	14.67	0.00	11.32	-6.80	-7.47	-10.41	7.95	4.71	0.00	-8.74	-0.48	4.19	
12.00	-8.15	-1.06	-0.06	0.09	0.95	0.08	12.98	-3.48	-17.28	-8.53	6.28	14.99	0.00	13.88	-7.04	-7.86	-11.81	8.36	5.43	0.00	-8.18	-0.47	4.07	
13.00	-9.63	-1.17	-0.07	0.08	0.95	0.08	15.58	-3.62	-17.55	-9.99	6.69	15.29	0.00	16.66	-7.39	-8.24	-13.52	8.89	6.27	0.00	-7.73	-0.38	3.93	
14.00	-11.09	-1.32	-0.06	0.08	0.94	0.08	18.27	-3.78	-17.80	-11.69	7.26	15.59	0.00	19.60	-7.81	-8.56	-15.55	9.56	7.19	0.00	-7.43	-0.26	3.77	
15.00	-12.50	-1.49	-0.04	0.07	0.94	0.08	21.06	-3.98	-18.04	-13.68	8.02	15.91	0.00	22.67	-8.28	-8.84	-17.87	10.37	8.18	0.00	-7.31	-0.11	3.60	
16.00	-13.87	-1.61	-0.09	0.07	0.93	0.08	24.00	-4.27	-18.19	-16.01	8.99	16.28	0.00	25.75	-8.77	-9.14	-20.32	11.31	9.17	0.00	-7.37	-0.03	3.51	
17.00	-15.23	-1.69	-0.18	0.06	0.93	0.08	27.11	-4.63	-18.24	-18.69	10.12	16.65	0.00	28.88	-9.28	-9.48	-22.89	12.39	10.22	0.00	-7.60	-0.01	3.48	
18.00	-16.57	-1.78	-0.31	0.05	0.92	0.08	30.41	-5.01	-18.21	-21.74	11.47	16.99	0.00	32.12	-9.90	-9.93	-25.72	13.70	11.44	0.00	-7.97	-0.02	3.53	
19.00	-17.89	-1.87	-0.49	0.05	0.91	0.08	33.79	-5.43	-18.22	-25.04	12.97	17.42	0.00	35.46	-10.65	-10.47	-28.84	15.23	12.78	0.00	-8.44	-0.05	3.62	
20.00	-19.15	-1.99	-0.66	0.04	0.90	0.08	37.27	-5.86	-18.21	-28.65	14.70	17.83	0.00	38.93	-11.53	-11.01	-32.31	16.97	14.23	0.00	-9.05	-0.06	3.73	
21.00	-20.31	-2.10	-0.84	0.03	0.89	0.08	40.75	-6.34	-18.20	-32.45	16.55	18.25	0.00	42.43	-12.49	-11.51	-36.00	18.79	15.68	0.00	-9.78	-0.10	3.82	
22.00	-21.38	-2.20	-1.06	0.02	0.87	0.08	44.21	-6.83	-18.18	-36.43	18.50	18.67	0.00	45.98	-13.53	-11.91	-39.99	20.72	17.01	0.00	-10.60	-0.14	3.95	
23.00	-22.36	-2.25	-1.22	0.02	0.86	0.08	47.71	-7.43	-18.05	-40.65	20.54	19.02	0.00	49.52	-14.47	-12.10	-44.11	22.69	18.13	0.00	-11.46	-0.23	4.01	
24.00	-23.24	-2.30	-1.28	0.01	0.84	0.08	51.15	-8.14	-17.93	-44.99	22.57	19.28	0.00	53.05	-15.27	-11.97	-48.30	24.62	18.94	0.00	-12.37	-0.28	3.97	
