gaitPhase	pelvis_tilt_moment	pelvis_list_moment	pelvis_rotation_moment	pelvis_tx_force	pelvis_ty_force	pelvis_tz_force	hip_flexion_r_moment	hip_adduction_r_moment	hip_rotation_r_moment	hip_flexion_l_moment	hip_adduction_l_moment	hip_rotation_l_moment	lumbar_extension_moment	lumbar_bending_moment	lumbar_rotation_moment	knee_angle_r_moment	knee_angle_l_moment	ankle_angle_r_moment	ankle_angle_l_moment	subtalar_angle_r_moment	subtalar_angle_l_moment	mtp_angle_r_moment	mtp_angle_l_moment	
1.00	-37.53	-12.49	5.09	-8.17	13.24	-9.80	-16.86	-22.79	8.24	-11.58	-18.94	3.92	6.69	-12.68	-2.09	-6.55	4.09	-16.67	-11.68	-0.50	1.97	0.03	0.02	
2.00	-25.81	-10.16	-1.55	11.33	-37.40	-5.00	-12.46	-23.09	6.21	-9.72	-20.39	5.72	4.25	-1.76	-2.32	-5.42	5.72	-16.85	-14.14	-1.58	3.23	0.03	0.03	
3.00	-25.84	-15.61	-0.31	-8.00	-39.99	21.34	-7.23	-22.23	5.72	-12.29	-21.98	8.47	1.28	1.80	-2.28	-4.20	10.75	-16.41	-18.27	-1.89	4.94	0.02	0.03	
4.00	-32.12	-10.68	-6.73	41.98	9.60	25.18	-7.61	-20.62	5.09	-19.17	-24.65	13.63	8.60	11.43	-0.59	-5.30	17.60	-15.62	-24.42	-2.46	7.80	0.03	0.03	
5.00	-22.69	0.01	-15.73	32.34	-35.58	-3.84	3.03	-16.69	2.79	-23.21	-31.13	19.85	9.56	22.26	-0.05	-1.24	29.38	-13.66	-33.48	-2.94	11.70	0.03	0.03	
6.00	-35.25	17.76	-25.71	44.65	-23.19	-18.92	5.42	-11.73	1.19	-31.06	-35.81	26.39	8.67	43.14	1.09	-1.50	43.81	-10.32	-46.22	-2.70	16.22	0.04	0.03	
7.00	-4.52	10.15	-23.99	11.94	-33.17	19.32	15.36	-13.26	1.59	-33.82	-32.95	34.09	32.16	54.94	5.62	2.24	61.73	-6.98	-61.74	-2.29	21.49	0.05	0.03	
8.00	-9.20	9.84	-29.49	-46.99	-19.92	20.17	10.64	-11.39	1.45	-41.80	-33.29	40.80	46.31	61.16	7.13	-0.12	77.35	-4.30	-77.95	-2.37	26.25	0.05	0.03	
9.00	-8.77	11.35	-34.90	-23.01	3.29	3.61	12.14	-8.03	0.78	-44.63	-32.41	44.53	53.22	65.17	7.29	-0.48	82.84	-1.30	-91.44	-1.27	29.51	0.05	0.03	
10.00	15.11	2.87	-37.18	-12.01	-114.14	24.05	15.66	-8.23	0.46	-38.67	-28.38	44.00	52.62	63.01	6.34	0.78	76.32	-0.26	-99.80	-1.24	30.29	0.04	0.03	
11.00	2.29	7.60	-24.94	-51.91	-68.28	47.87	13.36	-4.87	0.05	-41.53	-27.91	39.53	47.24	55.35	9.58	1.06	57.92	1.11	-100.74	-0.01	27.64	0.04	0.03	
12.00	-9.20	-0.30	-21.09	24.73	-70.09	21.47	17.23	-2.65	-0.59	-38.28	-23.53	31.49	25.60	39.25	6.40	3.10	35.49	1.05	-95.45	0.03	23.22	0.03	0.03	
13.00	-13.04	7.76	-13.99	16.96	42.54	13.30	14.50	-5.03	0.27	-35.52	-23.22	22.34	28.43	35.79	9.08	2.21	15.35	0.84	-84.05	-0.02	17.29	0.02	0.04	
