gaitPhase	pelvis_tilt_moment	pelvis_list_moment	pelvis_rotation_moment	pelvis_tx_force	pelvis_ty_force	pelvis_tz_force	hip_flexion_r_moment	hip_adduction_r_moment	hip_rotation_r_moment	hip_flexion_l_moment	hip_adduction_l_moment	hip_rotation_l_moment	lumbar_extension_moment	lumbar_bending_moment	lumbar_rotation_moment	knee_angle_r_moment	knee_angle_l_moment	ankle_angle_r_moment	ankle_angle_l_moment	subtalar_angle_r_moment	subtalar_angle_l_moment	mtp_angle_r_moment	mtp_angle_l_moment	
1.00	-6.70	-59.10	31.90	134.45	-6.32	320.57	37.58	-11.83	-5.12	-47.42	13.83	-1.83	0.16	-36.83	-18.48	-1.30	-30.92	-6.89	-2.51	-2.82	0.56	0.05	-0.04	
2.00	-43.89	32.21	-25.80	-2.03	142.72	-204.05	27.71	8.29	-2.37	-55.67	-10.00	4.17	-4.39	3.95	-19.18	0.37	-28.65	-5.16	-2.70	-2.34	1.38	0.06	-0.07	
3.00	-39.90	3.16	-14.88	-3.07	-42.29	-77.89	29.88	3.61	-2.78	-79.56	-5.92	5.59	5.20	0.83	-19.41	0.85	-34.88	-3.97	-3.14	-1.87	3.03	0.06	-0.09	
4.00	-44.87	-25.43	-0.08	-9.87	-190.54	50.97	31.68	-1.18	-3.07	-100.82	-1.88	5.94	8.38	-4.45	-17.86	1.05	-39.02	-3.00	-0.99	-1.52	4.32	0.07	0.02	
5.00	-74.41	4.47	-14.63	-80.90	-109.13	-129.31	28.08	6.57	-1.77	-104.23	-10.36	6.95	-3.35	6.89	-14.72	2.01	-33.82	-2.04	3.89	-1.31	4.93	0.08	0.27	
6.00	-70.72	-36.16	-2.77	-57.24	-8.08	19.32	30.56	6.68	-2.17	-76.51	1.72	5.12	-16.06	-19.31	-13.54	3.98	-19.39	-1.07	3.45	-0.90	7.25	0.08	0.41	
7.00	-29.98	-34.66	-6.02	-3.31	-85.37	80.00	31.94	4.71	-1.92	-48.84	-3.07	7.38	-16.66	-4.39	-9.36	4.65	-4.52	-0.43	-9.80	-0.84	12.03	0.09	0.17	
8.00	-21.45	16.06	-38.69	-19.30	41.21	-149.47	30.03	14.66	-1.43	-35.77	-25.40	12.35	-10.56	23.20	-12.26	5.32	11.94	0.28	-22.15	-0.88	15.64	0.10	0.02	
9.00	-47.26	32.85	-44.40	-12.92	161.42	-197.30	31.31	16.16	-1.28	-49.12	-44.20	17.28	-7.59	30.98	-16.19	5.92	23.60	0.93	-31.87	-0.90	18.00	0.11	0.02	
10.00	-122.58	-57.54	4.16	93.90	-38.54	139.72	36.38	-0.43	-1.44	-107.82	-34.60	20.23	-26.22	-6.12	-10.41	5.65	19.29	1.08	-41.80	-0.72	20.84	0.12	0.07	
11.00	-159.93	114.03	-109.52	13.94	90.34	-781.62	30.47	44.61	-2.22	-116.39	-58.87	26.78	-31.82	87.44	-4.57	10.97	33.72	1.17	-52.38	-0.67	23.50	0.11	0.05	
12.00	-32.88	22.19	-12.42	184.52	-219.46	45.57	50.82	10.65	-5.93	-100.76	-44.31	28.11	19.05	61.24	4.10	12.72	49.02	0.96	-62.46	-0.31	24.88	0.09	0.04	
13.00	92.59	-88.84	91.91	237.80	-431.02	826.43	64.81	-28.51	-6.54	-95.15	-25.62	28.75	90.31	20.21	11.22	12.96	59.18	0.68	-72.32	-0.20	25.71	0.08	0.03	
14.00	64.47	32.55	-7.34	-137.15	-86.81	-122.38	40.83	4.07	-1.81	-116.63	-42.34	33.97	137.42	73.75	7.56	11.83	62.77	0.39	-82.20	-0.64	26.62	0.06	0.04	
15.00	109.62	15.08	-3.89	-156.03	-65.08	-10.92	37.42	1.14	-3.72	-105.30	-45.27	37.41	171.74	65.15	1.18	10.97	70.24	0.02	-91.90	-0.45	26.62	0.05	0.04	
16.00	75.59	5.84	-10.73	-101.92	22.90	9.74	34.24	-1.06	-3.59	-98.32	-49.90	40.39	150.08	59.74	0.66	11.27	75.86	-0.10	-101.54	-0.53	26.39	0.04	0.03	
17.00	10.77	7.41	-25.43	-66.11	135.54	-45.96	26.86	0.43	-2.94	-96.59	-51.40	41.56	112.59	60.01	3.22	10.59	78.29	-0.31	-110.71	-0.57	26.03	0.03	0.03	
18.00	-25.10	-0.90	-21.63	12.08	119.56	27.00	25.80	-1.24	-2.73	-91.83	-48.75	41.07	77.24	57.92	9.44	10.10	78.86	-0.37	-119.02	-0.55	25.49	0.04	0.03	
19.00	6.65	-29.68	8.37	74.82	-84.12	288.76	29.98	-12.29	-2.34	-82.98	-45.19	40.42	73.29	49.94	15.37	9.51	79.33	-0.24	-126.23	-0.59	24.69	0.04	0.03	
20.00	-12.21	16.82	-24.78	-29.47	-51.74	-41.37	22.02	0.36	-1.01	-86.51	-54.48	41.14	73.16	71.75	18.78	9.78	77.44	-0.26	-132.12	-0.69	23.71	0.04	0.03	
21.00	9.97	-7.15	1.80	50.97	-95.15	161.22	24.92	-9.52	-1.05	-85.21	-52.49	40.30	85.30	62.34	22.18	8.87	74.64	-0.27	-136.46	-0.65	22.49	0.04	0.03	
22.00	15.44	-11.28	6.82	119.66	-75.55	174.99	26.76	-10.51	-0.79	-79.15	-53.14	39.30	84.69	56.83	22.88	7.65	70.84	-0.12	-139.40	-0.71	21.09	0.05	0.03	
23.00	-46.79	38.14	-44.71	-17.96	56.17	-258.37	17.27	6.30	0.87	-82.14	-60.88	38.98	58.60	73.45	18.37	8.06	64.90	-0.02	-141.05	-0.88	19.57	0.04	0.02	
24.00	-0.80	-7.92	-11.09	3.54	-65.95	24.83	18.51	-7.26	0.73	-71.44	-51.61	35.86	73.38	50.41	17.62	6.10	58.23	-0.06	-141.19	-0.87	17.94	0.04	0.02	
25.00	-11.30	17.60	-26.88	-4.83	-13.87	-152.47	15.22	-0.27	1.58	-65.51	-53.29	33.88	66.12	56.87	18.82	5.19	49.75	0.06	-140.20	-1.01	16.34	0.04	0.02	
26.00	-4.09	-7.40	-6.59	93.04	-31.89	55.39	14.89	-9.72	0.63	-54.33	-48.55	30.74	59.81	43.26	19.37	4.15	41.71	0.16	-138.12	-0.99	14.64	0.04	0.02	
27.00	13.41	-14.03	-2.01	72.26	-47.66	107.52	15.37	-10.52	0.10	-44.35	-45.85	27.51	62.75	37.26	17.07	4.10	32.75	0.37	-135.06	-1.02	13.01	0.05	0.02	
28.00	-46.15	74.20	-73.71	-207.51	70.76	-570.30	2.59	18.88	2.93	-48.14	-59.05	26.03	40.88	70.46	13.71	4.44	22.63	0.60	-131.20	-1.35	11.55	0.04	0.01	
29.00	-18.39	-11.48	-16.68	4.08	-57.03	-19.81	2.04	-8.04	2.73	-37.51	-39.58	20.26	36.05	32.18	13.72	2.37	12.78	0.60	-126.37	-1.33	10.26	0.05	0.02	
30.00	-10.11	-15.49	-5.31	9.75	-29.93	51.93	4.87	-11.07	2.93	-33.63	-36.51	16.47	37.16	27.23	14.17	3.77	4.67	0.86	-120.88	-1.37	9.06	0.05	0.02	
31.00	7.20	-1.90	-6.30	-47.53	-4.22	1.87	5.99	-7.51	3.39	-28.92	-36.04	13.24	46.44	28.91	14.15	3.46	-2.59	1.02	-114.83	-1.47	7.98	0.05	0.02	
32.00	-1.48	-4.94	-2.33	7.45	-14.38	44.06	3.97	-10.57	3.84	-23.51	-32.27	9.79	32.09	27.36	14.70	1.64	-9.13	1.24	-108.18	-1.45	6.95	0.06	0.03	
33.00	-6.68	2.97	-2.00	-5.31	-32.16	21.48	-2.43	-7.61	3.01	-18.67	-30.37	6.80	25.47	25.81	16.20	-1.29	-12.97	1.45	-101.13	-1.35	5.95	0.07	0.03	
34.00	5.54	5.21	-3.15	7.68	-39.88	-2.77	-2.64	-4.31	1.89	-11.58	-27.79	4.44	26.00	20.89	15.16	-2.17	-16.04	1.73	-93.70	-1.28	5.02	0.07	0.03	
35.00	11.15	-1.92	-2.80	10.90	-22.56	-4.52	-1.22	-4.73	2.22	-7.23	-24.66	2.47	25.16	14.58	12.45	-1.91	-17.94	1.99	-86.03	-1.23	4.18	0.08	0.04	
36.00	13.97	-7.11	0.55	1.48	-24.78	7.51	-3.12	-5.51	2.59	-3.53	-21.61	0.83	23.86	8.94	11.96	-3.15	-18.16	2.18	-78.27	-1.12	3.33	0.08	0.04	
37.00	11.98	-2.25	1.57	4.92	-89.20	-6.23	-7.19	-1.66	1.83	-1.77	-19.47	-0.13	16.16	6.24	12.01	-6.27	-18.79	2.33	-70.59	-0.94	2.65	0.09	0.04	
38.00	1.46	-1.88	1.52	2.97	-78.80	-16.22	-12.60	0.98	1.30	-1.00	-17.54	-0.92	11.27	2.30	10.77	-9.53	-18.59	2.36	-62.93	-0.76	1.98	0.10	0.04	
39.00	-2.88	1.92	3.56	-6.00	-48.00	-3.39	-18.51	1.21	1.41	1.76	-16.17	-1.57	12.16	3.17	12.37	-12.44	-17.52	2.35	-55.47	-0.62	1.30	0.10	0.04	
40.00	-1.11	2.93	2.55	-22.39	-15.76	-2.47	-24.10	2.42	1.32	4.03	-14.36	-2.08	18.46	2.93	10.93	-15.54	-16.29	2.31	-48.52	-0.45	0.72	0.10	0.04	
41.00	-9.33	5.14	3.40	-17.48	1.54	7.61	-29.65	4.10	0.92	5.66	-12.10	-2.71	15.53	4.42	11.06	-18.99	-15.03	2.19	-41.98	-0.29	0.21	0.10	0.04	
42.00	-9.22	5.09	4.41	-5.58	-23.06	16.93	-35.50	2.04	1.16	12.83	-9.71	-3.10	10.66	6.36	13.29	-21.92	-11.55	1.87	-35.93	-0.28	-0.19	0.09	0.04	
43.00	-8.91	9.90	3.90	4.01	-12.31	23.04	-41.72	0.12	1.63	19.18	-9.25	-3.29	10.34	11.37	15.14	-25.49	-8.77	1.53	-30.51	-0.30	-0.57	0.09	0.04	
44.00	-8.64	7.16	5.10	3.30	10.52	18.12	-46.63	0.75	1.69	19.78	-6.35	-3.59	14.86	10.24	15.40	-29.19	-8.01	1.13	-25.91	-0.28	-0.72	0.08	0.03	
45.00	-5.92	11.02	5.63	7.01	31.28	14.80	-50.48	5.23	1.09	21.76	-5.07	-3.72	19.78	9.79	14.69	-32.11	-7.03	0.58	-21.66	-0.19	-0.90	0.06	0.04	
46.00	-9.46	11.09	3.58	18.87	15.90	14.75	-55.21	4.20	1.07	25.28	-5.58	-3.48	15.46	8.80	14.12	-33.93	-5.12	-0.09	-17.85	-0.33	-1.09	0.05	0.04	
47.00	-16.38	18.09	3.89	26.05	24.04	7.82	-59.69	5.67	0.50	27.66	-4.99	-3.23	12.01	12.52	17.48	-35.66	-3.48	-0.71	-14.72	-0.41	-1.16	0.03	0.04	
48.00	-16.19	19.59	3.57	13.48	47.97	24.56	-62.64	5.17	0.24	28.55	-4.08	-2.82	16.11	13.52	16.55	-36.56	-1.96	-1.21	-11.68	-0.39	-1.16	0.01	0.04	
49.00	-13.58	16.53	2.48	14.36	93.40	16.23	-61.64	4.32	0.21	29.02	-5.33	-2.12	20.68	8.42	15.41	-36.33	-1.04	-1.92	-9.10	-0.33	-0.98	-0.03	0.05	
50.00	-16.87	14.04	3.36	1.11	81.46	37.14	-66.58	-1.37	1.43	29.19	-4.55	-1.71	21.45	9.68	16.73	-36.83	-0.23	-2.58	-6.94	-0.39	-0.88	-0.06	0.05	
51.00	-21.53	5.21	2.41	-22.64	5.11	49.30	-81.08	-10.18	3.94	30.46	-4.65	-1.10	23.32	4.29	16.10	-39.04	0.76	-2.29	-4.75	-0.58	-0.84	-0.08	0.06	
52.00	-32.97	5.03	2.64	-37.78	-72.65	41.41	-100.79	-17.30	6.99	31.51	-4.69	-0.57	24.91	1.31	17.56	-42.73	2.56	-0.91	-2.86	-0.27	-0.82	-0.07	0.05	
53.00	-46.02	3.68	0.84	-73.75	-142.71	30.16	-121.83	-23.73	9.42	30.80	-4.31	-0.11	28.73	-3.03	16.33	-45.93	3.80	1.83	-0.85	0.01	-0.70	0.02	0.07	
54.00	-52.31	2.54	0.59	-109.43	-78.60	17.06	-117.58	-24.15	10.80	27.36	-3.30	0.14	28.94	-5.50	14.33	-38.31	3.59	6.47	0.98	-0.24	-0.50	0.21	0.08	
55.00	-43.54	0.43	9.08	-117.63	-2.35	39.46	-93.95	-20.75	11.28	31.47	0.87	0.13	18.32	-4.10	15.88	-23.77	6.40	8.17	2.20	-0.61	-0.39	0.35	0.09	
56.00	-24.16	7.91	9.83	-94.68	54.57	-16.32	-58.73	-21.73	11.52	26.48	1.38	0.86	11.28	-3.57	12.79	-5.05	4.86	1.49	2.76	-0.43	-0.27	0.27	0.11	
57.00	-15.86	6.21	-2.28	-92.85	26.45	-115.60	-53.89	-35.16	16.04	30.25	2.84	0.63	9.33	-5.94	6.39	8.24	7.43	-10.50	2.84	0.58	-0.12	0.08	0.10	
58.00	-7.25	-19.59	1.10	-0.57	-7.91	-60.57	-58.05	-57.53	20.99	37.83	5.10	0.10	14.29	-23.03	2.30	23.99	9.75	-21.08	2.98	1.78	-0.13	0.03	0.10	
59.00	-38.34	-34.47	1.07	143.75	-74.29	-31.00	-81.61	-75.49	27.04	40.50	1.47	0.50	5.16	-43.39	-3.75	33.99	8.97	-30.81	3.08	3.39	-0.19	0.04	0.10	
60.00	-75.65	-30.07	-5.20	192.71	-178.13	-111.05	-106.44	-73.84	33.05	42.99	-0.98	-0.06	-7.67	-52.88	-8.34	44.29	11.53	-40.36	2.80	5.15	-0.14	0.05	0.08	
61.00	-61.80	-52.48	8.92	208.30	-173.99	-4.25	-115.23	-77.01	37.84	39.53	-1.26	-0.23	22.24	-69.36	-8.20	57.37	8.36	-49.42	2.52	6.27	-0.16	0.05	0.08	
62.00	-9.89	-31.11	-1.72	79.22	-80.85	-150.51	-109.21	-68.51	41.21	37.15	-5.64	-0.41	77.88	-60.48	-2.35	74.24	7.88	-57.99	2.30	6.35	-0.16	0.04	0.07	
