gaitPhase	soleus_r	med_gas_r	lat_gas_r	tib_ant_r	
0.00	0.00	0.00	0.00	13.44	
0.00	1.43	0.09	0.20	17.69	
0.00	3.64	0.16	0.58	12.66	
0.00	4.81	0.21	0.87	32.85	
0.00	2.45	0.11	0.42	54.08	
0.00	0.34	0.02	0.04	46.86	
0.00	0.00	0.00	0.00	32.58	
0.00	1.95	0.07	0.39	45.04	
0.00	13.16	0.52	2.67	48.92	
0.00	31.77	1.27	6.47	34.33	
0.00	53.40	2.13	10.88	14.35	
0.00	71.75	2.87	14.56	2.99	
0.00	87.27	3.48	17.70	0.19	
0.00	102.03	4.06	20.66	0.01	
0.00	116.23	4.62	23.51	0.01	
0.00	129.79	5.16	26.25	0.01	
0.00	142.62	5.67	28.84	0.01	
0.00	154.56	6.14	31.28	0.01	
0.00	165.82	6.58	33.55	0.01	
0.00	176.99	7.03	35.82	0.01	
0.00	188.70	7.50	38.18	0.01	
0.00	200.57	7.97	40.57	0.01	
0.00	211.21	8.40	42.73	0.01	
0.00	219.45	8.72	44.38	0.01	
0.00	225.13	8.94	45.47	0.01	
0.00	228.54	9.08	46.22	0.01	
0.00	230.39	9.16	46.60	0.00	
0.00	231.11	9.19	46.74	0.00	
0.00	231.18	9.19	46.75	0.00	
0.00	231.26	9.20	46.78	0.00	
0.00	231.88	9.23	46.96	0.00	
0.00	233.34	9.28	47.18	0.00	
0.00	235.17	9.34	47.44	0.00	
0.00	236.38	9.40	47.76	0.00	
0.00	236.65	9.41	47.81	0.00	
0.00	236.02	9.39	47.76	0.00	
0.00	234.99	9.35	47.53	0.00	
0.00	233.33	9.30	47.29	0.00	
0.00	230.93	9.20	46.74	0.00	
0.00	227.40	9.06	46.06	0.00	
0.00	222.97	8.88	45.17	0.00	
0.00	217.82	8.67	44.10	0.00	
0.00	211.74	8.43	42.86	0.00	
0.00	204.50	8.13	41.34	0.00	
0.00	195.42	7.78	39.61	0.00	
0.00	184.16	7.33	37.28	0.00	
0.00	170.52	6.78	34.46	0.00	
0.00	154.75	6.16	31.28	0.00	
0.00	137.49	5.48	27.82	0.00	
0.00	120.26	4.79	24.34	0.00	
0.00	104.80	4.17	21.20	0.00	
0.00	92.51	3.68	18.72	0.00	
0.00	83.77	3.34	16.95	0.00	
0.00	78.60	3.13	15.90	0.00	
0.00	78.09	3.11	15.80	0.00	
0.00	84.03	3.35	17.00	0.00	
0.00	96.92	3.86	19.61	0.00	
0.00	114.85	4.58	23.25	0.00	
0.00	134.90	5.37	27.31	0.00	
0.00	153.99	6.13	31.17	0.00	
0.00	170.02	6.77	34.42	0.00	
0.00	181.74	7.24	36.78	0.00	
0.00	187.87	7.48	38.03	0.00	
0.00	187.31	7.45	37.88	0.00	
0.00	179.14	7.13	36.20	0.00	
0.00	161.97	6.45	32.78	0.00	
0.00	135.65	5.39	27.46	0.00	
0.00	103.67	4.11	20.98	0.01	
0.00	74.77	2.97	15.12	0.01	
0.00	54.60	2.18	11.06	0.01	
0.00	41.52	1.68	8.45	0.02	
0.00	31.13	1.29	6.39	0.03	
0.00	22.33	0.93	4.62	0.05	
0.00	16.02	0.65	3.37	0.07	
0.00	12.38	0.47	2.65	0.09	
0.00	10.75	0.37	2.30	0.10	
0.00	10.16	0.35	2.19	0.13	
0.00	9.93	0.32	2.13	0.37	
0.00	9.69	0.32	2.10	1.00	
0.00	9.44	0.31	2.06	1.65	
0.00	9.06	0.31	1.98	2.33	
0.00	8.41	0.29	1.79	3.08	
0.00	7.63	0.26	1.53	3.67	
0.00	6.89	0.26	1.30	4.08	
0.00	6.32	0.25	1.08	4.38	
0.00	5.60	0.24	0.87	4.74	
0.00	4.59	0.22	0.67	5.39	
0.00	3.47	0.20	0.47	6.21	
0.00	2.48	0.17	0.31	6.94	
0.00	1.55	0.13	0.25	7.07	
0.00	0.88	0.10	0.18	6.84	
0.00	0.53	0.08	0.15	6.54	
0.00	0.32	0.06	0.10	6.40	
0.00	0.12	0.04	0.09	6.30	
0.00	0.04	0.03	0.04	6.08	
0.00	0.01	0.01	0.01	6.07	
0.00	0.01	0.01	0.01	6.82	
0.00	0.00	0.00	0.00	7.72	
0.00	0.00	0.00	0.00	8.08	
0.00	0.00	0.00	0.00	13.20	
