gaitPhase	pelvis_tilt_moment	pelvis_list_moment	pelvis_rotation_moment	pelvis_tx_force	pelvis_ty_force	pelvis_tz_force	hip_flexion_r_moment	hip_adduction_r_moment	hip_rotation_r_moment	hip_flexion_l_moment	hip_adduction_l_moment	hip_rotation_l_moment	lumbar_extension_moment	lumbar_bending_moment	lumbar_rotation_moment	knee_angle_r_moment	knee_angle_l_moment	ankle_angle_r_moment	ankle_angle_l_moment	subtalar_angle_r_moment	subtalar_angle_l_moment	mtp_angle_r_moment	mtp_angle_l_moment	
0.00	21.85	11.38	10.76	72.73	141.88	44.11	15.42	6.39	8.98	15.49	5.08	2.68	32.81	8.30	8.45	26.33	24.89	7.36	6.80	2.65	1.55	0.01	0.01	
0.00	28.89	9.26	7.94	32.17	124.32	40.37	14.82	2.31	9.66	12.92	2.69	3.12	56.65	8.95	3.59	25.20	23.64	7.39	6.96	2.41	1.44	0.00	0.00	
0.00	22.24	6.59	3.72	62.92	75.88	17.18	17.83	5.20	9.19	15.62	2.03	2.73	40.11	5.64	1.66	24.90	22.99	7.63	7.41	2.42	1.43	0.00	0.00	
0.00	19.19	3.86	4.04	49.24	66.26	16.25	16.91	4.21	9.20	14.64	2.45	2.63	40.29	4.97	2.00	24.53	22.69	8.15	8.05	2.39	1.59	0.00	0.01	
0.00	16.10	9.43	4.11	46.76	102.20	39.93	17.00	6.07	8.64	17.05	2.90	2.73	35.68	9.56	4.00	24.10	22.03	8.89	8.65	2.44	1.83	0.00	0.01	
0.00	35.80	14.89	6.98	59.21	52.57	32.58	15.91	4.54	8.68	14.86	2.68	2.61	55.67	12.27	5.45	23.04	22.31	9.59	9.25	2.19	1.94	0.00	0.00	
0.00	18.91	11.61	7.46	37.22	135.18	26.51	16.75	3.28	8.51	16.94	4.48	2.41	41.67	9.33	6.76	21.91	20.87	10.22	10.11	2.02	2.07	0.00	0.01	
0.00	26.74	11.13	3.01	78.32	107.60	22.40	16.30	3.51	7.85	14.91	3.19	2.36	36.83	10.53	7.10	21.34	21.54	10.82	10.69	2.05	2.07	0.00	0.01	
0.00	17.03	10.25	6.24	56.69	73.31	24.21	16.29	3.69	7.60	14.64	4.41	2.20	36.12	3.92	4.44	20.31	20.89	11.18	10.96	1.89	2.14	0.00	0.00	
0.00	29.32	19.48	12.80	59.15	125.09	52.40	16.21	6.23	6.63	16.34	7.58	2.45	37.60	11.97	5.57	19.50	20.08	11.41	11.32	1.90	2.31	0.01	0.00	
0.00	27.63	14.54	11.96	69.67	108.33	42.74	15.02	3.05	6.89	12.80	3.22	2.37	52.41	9.13	9.18	19.13	19.79	11.82	11.60	1.81	2.55	0.00	0.00	
0.00	27.35	4.51	4.74	46.30	71.18	18.92	15.36	3.05	6.28	12.46	3.25	1.72	25.53	5.41	4.62	18.05	19.96	11.94	11.72	2.00	2.87	0.00	0.00	
0.00	15.22	4.86	4.51	89.15	135.29	25.97	12.90	4.49	5.67	12.56	4.51	1.44	41.53	4.99	3.69	17.62	18.29	11.97	11.78	2.19	3.04	0.00	0.01	
0.00	27.11	6.48	3.69	38.45	62.22	22.52	15.19	4.27	4.87	13.07	3.74	0.84	38.16	4.77	3.22	16.96	18.49	12.39	12.59	2.28	3.17	0.00	0.01	
0.00	17.23	8.92	8.49	90.42	123.99	24.20	12.81	3.52	4.55	14.51	4.25	1.06	33.32	7.55	7.21	17.50	18.58	13.22	13.93	2.56	3.20	0.00	0.00	
0.00	32.97	9.57	10.36	91.42	72.11	53.22	14.49	4.36	4.09	15.04	5.51	1.03	43.30	8.83	5.96	17.40	17.51	14.12	15.38	2.71	3.39	0.00	0.00	
0.00	24.02	12.27	8.24	135.91	89.94	49.96	14.89	2.75	3.97	14.21	4.90	0.83	39.68	11.49	6.23	17.50	17.97	14.60	16.64	2.70	3.60	0.00	0.00	
0.00	19.49	8.64	5.30	65.45	72.42	35.61	15.38	4.26	3.21	15.62	7.22	1.34	27.17	10.71	5.24	17.42	17.95	14.77	17.44	2.66	3.95	0.00	0.00	
