gaitPhase	pelvis_tilt	pelvis_list	pelvis_rotation	pelvis_tx	pelvis_ty	pelvis_tz	hip_flexion_r	hip_adduction_r	hip_rotation_r	knee_angle_r	ankle_angle_r	subtalar_angle_r	mtp_angle_r	hip_flexion_l	hip_adduction_l	hip_rotation_l	knee_angle_l	ankle_angle_l	subtalar_angle_l	mtp_angle_l	lumbar_extension	lumbar_bending	lumbar_rotation	
1.00	-6.69	-1.08	-1.47	0.05	0.93	0.05	17.46	-5.02	-16.00	-20.12	13.07	12.59	0.00	18.52	-10.06	-3.86	-21.82	13.87	8.25	0.00	-16.38	-1.41	4.57	
2.00	-6.91	-1.08	-1.44	0.05	0.93	0.05	17.94	-5.07	-15.87	-20.67	13.36	12.47	0.00	19.10	-10.10	-3.79	-22.47	14.15	8.38	0.00	-16.39	-1.44	4.52	
3.00	-7.18	-1.09	-1.36	0.05	0.93	0.05	18.56	-5.17	-15.79	-21.40	13.74	12.37	0.00	19.84	-10.14	-3.71	-23.30	14.52	8.57	0.00	-16.44	-1.46	4.44	
4.00	-7.56	-1.06	-1.30	0.05	0.93	0.05	19.47	-5.33	-15.70	-22.42	14.26	12.31	0.00	20.86	-10.18	-3.69	-24.37	15.01	8.84	0.00	-16.49	-1.50	4.39	
5.00	-7.99	-1.05	-1.24	0.05	0.93	0.05	20.61	-5.54	-15.59	-23.76	14.94	12.28	0.00	22.09	-10.25	-3.72	-25.74	15.65	9.26	0.00	-16.59	-1.51	4.33	
6.00	-8.48	-1.04	-1.18	0.04	0.92	0.04	22.03	-5.80	-15.46	-25.51	15.82	12.27	0.00	23.57	-10.36	-3.79	-27.40	16.41	9.82	0.00	-16.75	-1.51	4.27	
7.00	-9.02	-1.02	-1.11	0.04	0.92	0.04	23.72	-6.17	-15.33	-27.70	16.86	12.33	0.00	25.31	-10.48	-3.89	-29.45	17.33	10.53	0.00	-17.00	-1.52	4.17	
8.00	-9.58	-0.98	-1.00	0.04	0.92	0.04	25.66	-6.63	-15.16	-30.32	18.11	12.40	0.00	27.25	-10.63	-4.05	-31.75	18.35	11.41	0.00	-17.33	-1.56	4.02	
9.00	-10.14	-0.92	-0.96	0.04	0.91	0.04	27.75	-7.14	-14.92	-33.24	19.49	12.55	0.00	29.28	-10.84	-4.35	-34.30	19.60	12.43	0.00	-17.75	-1.64	3.91	
10.00	-10.71	-0.85	-0.94	0.04	0.90	0.04	29.99	-7.68	-14.70	-36.36	20.99	12.77	0.00	31.46	-11.11	-4.69	-37.14	21.07	13.54	0.00	-18.24	-1.74	3.81	
11.00	-11.33	-0.84	-0.93	0.03	0.90	0.04	32.40	-8.20	-14.45	-39.72	22.57	13.01	0.00	33.93	-11.53	-5.00	-40.40	22.74	14.75	0.00	-18.77	-1.77	3.75	
12.00	-11.96	-0.84	-0.97	0.03	0.89	0.04	34.98	-8.67	-14.08	-43.33	24.27	13.23	0.00	36.59	-12.05	-5.26	-43.96	24.45	15.97	0.00	-19.33	-1.78	3.73	
13.00	-12.54	-0.87	-1.01	0.03	0.88	0.04	37.57	-9.14	-13.66	-47.07	26.12	13.44	0.00	39.37	-12.60	-5.39	-47.83	26.25	17.05	0.00	-19.98	-1.77	3.72	
14.00	-13.08	-0.93	-1.08	0.03	0.86	0.04	40.17	-9.52	-13.17	-50.91	28.08	13.57	0.00	42.16	-13.22	-5.38	-51.81	28.09	18.02	0.00	-20.70	-1.72	3.76	
15.00	-13.57	-1.00	-1.17	0.02	0.85	0.04	42.83	-9.87	-12.61	-54.91	30.02	13.65	0.00	44.97	-13.82	-5.16	-55.90	29.97	18.81	0.00	-21.50	-1.65	3.81	
16.00	-13.91	-1.03	-1.39	0.02	0.84	0.04	45.41	-10.15	-11.87	-58.96	31.84	13.73	0.00	47.58	-14.41	-4.93	-59.98	31.86	19.43	0.00	-22.44	-1.67	4.00	
17.00	-14.21	-1.11	-1.59	0.02	0.82	0.04	47.92	-10.39	-11.19	-62.95	33.60	13.81	0.00	50.21	-14.97	-4.51	-64.08	33.60	19.90	0.00	-23.40	-1.63	4.17	
18.00	-14.45	-1.23	-1.77	0.02	0.81	0.04	50.25	-10.55	-10.55	-66.77	35.31	13.82	0.00	52.75	-15.47	-3.90	-68.05	35.14	20.25	0.00	-24.36	-1.58	4.33	
19.00	-14.69	-1.33	-1.98	0.02	0.79	0.04	52.50	-10.64	-9.88	-70.43	36.89	13.79	0.00	55.15	-15.92	-3.25	-71.79	36.66	20.47	0.00	-25.24	-1.55	4.50	
20.00	-14.87	-1.39	-2.20	0.01	0.78	0.04	54.59	-10.69	-9.21	-73.86	38.31	13.76	0.00	57.30	-16.28	-2.61	-75.23	38.12	20.55	0.00	-26.09	-1.57	4.68	
21.00	-14.99	-1.46	-2.40	0.01	0.76	0.04	56.44	-10.73	-8.61	-76.99	39.58	13.73	0.00	59.23	-16.52	-1.92	-78.39	39.43	20.51	0.00	-26.92	-1.59	4.85	
22.00	-15.09	-1.53	-2.55	0.01	0.75	0.04	58.07	-10.75	-8.11	-79.79	40.68	13.72	0.00	61.00	-16.68	-1.19	-81.22	40.46	20.44	0.00	-27.65	-1.60	4.98	
23.00	-15.15	-1.60	-2.71	0.01	0.74	0.04	59.48	-10.75	-7.67	-82.23	41.54	13.72	0.00	62.50	-16.81	-0.54	-83.69	41.32	20.36	0.00	-28.29	-1.62	5.10	
24.00	-15.20	-1.62	-2.89	0.01	0.73	0.04	60.65	-10.69	-7.28	-84.24	42.23	13.70	0.00	63.71	-16.92	-0.03	-85.72	42.01	20.29	0.00	-28.79	-1.67	5.21	
25.00	-15.25	-1.66	-3.01	0.01	0.72	0.04	61.52	-10.63	-7.00	-85.78	42.74	13.69	0.00	64.67	-16.97	0.44	-87.31	42.45	20.22	0.00	-29.16	-1.69	5.28	
26.00	-15.26	-1.72	-3.06	0.01	0.71	0.04	62.06	-10.60	-6.85	-86.83	43.00	13.65	0.00	65.33	-16.93	0.86	-88.41	42.65	20.18	0.00	-29.41	-1.66	5.28	
27.00	-15.18	-1.92	-2.94	0.02	0.71	0.03	62.06	-10.56	-7.01	-87.27	42.99	13.60	0.00	65.59	-16.81	1.36	-88.91	42.59	20.13	0.00	-29.64	-1.40	5.23	
28.00	-15.01	-2.39	-2.64	0.02	0.71	0.03	61.41	-10.53	-7.61	-87.02	42.75	13.55	0.00	65.49	-16.62	2.04	-88.80	42.24	20.13	0.00	-29.84	-0.81	5.20	
29.00	-15.04	-2.38	-2.59	0.02	0.71	0.03	60.96	-10.47	-7.75	-86.25	42.05	13.52	0.00	65.09	-16.41	2.08	-88.05	41.43	19.98	0.00	-29.62	-0.79	5.13	
30.00	-15.08	-2.36	-2.57	0.02	0.72	0.03	60.19	-10.38	-7.97	-84.85	40.82	13.48	0.00	64.32	-16.20	1.99	-86.66	40.23	19.73	0.00	-29.22	-0.79	5.16	
31.00	-15.11	-2.00	-2.72	0.02	0.73	0.03	59.30	-10.30	-7.92	-82.88	38.98	13.39	0.00	63.02	-15.97	1.41	-84.55	38.50	19.28	0.00	-28.64	-1.20	5.16	
32.00	-15.06	-1.95	-2.67	0.03	0.74	0.03	57.74	-10.23	-8.44	-80.19	36.68	13.28	0.00	61.38	-15.73	1.06	-81.85	36.29	18.75	0.00	-27.94	-1.19	5.21	
33.00	-14.93	-1.59	-2.82	0.03	0.76	0.03	56.05	-10.16	-8.69	-77.11	34.18	13.17	0.00	59.27	-15.49	0.25	-78.67	33.82	18.07	0.00	-27.21	-1.55	5.28	
34.00	-14.66	-1.59	-2.76	0.04	0.78	0.03	53.63	-10.02	-9.39	-73.36	31.98	13.17	0.00	56.74	-15.19	-0.27	-74.94	31.61	17.56	0.00	-26.30	-1.46	5.38	
35.00	-14.30	-1.54	-2.72	0.04	0.80	0.03	50.79	-9.90	-10.03	-69.20	30.32	13.09	0.00	53.79	-14.75	-0.97	-70.84	29.93	16.87	0.00	-25.29	-1.40	5.48	
36.00	-13.82	-1.44	-2.65	0.05	0.82	0.03	47.53	-9.84	-10.77	-64.53	28.17	12.83	0.00	50.41	-14.22	-1.72	-66.23	27.77	16.04	0.00	-24.18	-1.36	5.51	
37.00	-13.25	-1.32	-2.58	0.05	0.85	0.03	43.82	-9.82	-11.81	-59.12	24.74	12.57	0.00	46.58	-13.63	-2.46	-60.87	24.33	15.08	0.00	-22.98	-1.35	5.53	
38.00	-12.38	-1.15	-2.52	0.06	0.88	0.03	39.50	-9.78	-13.07	-52.93	19.92	12.28	0.00	42.09	-12.95	-3.34	-54.68	19.47	13.83	0.00	-21.99	-1.42	5.54	
39.00	-11.69	-0.98	-2.40	0.07	0.91	0.03	35.05	-9.61	-14.54	-45.96	14.04	11.97	0.00	37.50	-12.10	-4.20	-47.71	13.42	12.33	0.00	-20.49	-1.45	5.49	
40.00	-10.88	-0.88	-2.30	0.08	0.95	0.03	30.36	-9.12	-16.03	-38.62	8.31	11.47	0.00	32.77	-11.21	-5.33	-40.53	7.48	10.94	0.00	-19.15	-1.40	5.44	
41.00	-10.27	-0.61	-2.23	0.09	0.99	0.03	26.11	-8.74	-17.39	-31.92	3.53	10.71	0.00	28.31	-10.00	-6.66	-33.60	2.54	9.65	0.00	-17.58	-1.50	5.43	
42.00	-9.77	-0.25	-2.18	0.09	1.02	0.03	22.18	-8.42	-18.73	-25.31	-3.87	9.49	0.00	24.16	-8.74	-7.19	-26.77	-4.20	7.56	0.00	-16.11	-1.69	5.43	
43.00	-9.08	0.00	-2.14	0.10	1.06	0.03	18.48	-7.99	-19.80	-19.03	-11.92	8.35	0.00	20.22	-7.73	-7.41	-20.22	-11.89	5.36	0.00	-15.26	-1.80	5.39	
44.00	-8.44	0.16	-2.16	0.10	1.09	0.03	15.40	-7.45	-20.84	-13.77	-17.63	7.64	0.00	16.89	-7.01	-7.90	-14.72	-17.65	3.63	0.00	-14.53	-1.82	5.36	
45.00	-7.81	0.29	-2.22	0.11	1.12	0.03	12.95	-7.02	-21.44	-10.22	-19.62	6.97	0.00	14.25	-6.44	-8.58	-10.93	-20.25	2.40	0.00	-14.01	-1.86	5.36	
46.00	-7.42	0.46	-2.23	0.11	1.14	0.03	11.64	-6.98	-21.77	-8.93	-19.26	6.55	0.00	12.80	-5.98	-9.11	-9.46	-20.00	1.41	0.00	-13.40	-1.93	5.34	
47.00	-7.04	0.56	-2.15	0.11	1.16	0.03	10.76	-7.04	-22.27	-8.38	-20.53	6.07	0.00	12.00	-5.77	-9.06	-9.03	-21.01	0.97	0.00	-13.12	-1.90	5.24	
48.00	-6.59	0.64	-2.19	0.12	1.18	0.03	10.14	-7.14	-22.44	-8.25	-21.34	6.29	0.00	11.38	-5.73	-9.39	-9.07	-21.70	1.66	0.00	-13.12	-1.92	5.25	
49.00	-6.28	0.76	-2.35	0.12	1.18	0.03	10.09	-7.41	-22.17	-9.10	-20.85	7.03	0.00	11.20	-5.73	-9.70	-9.89	-21.08	2.79	0.00	-13.12	-2.05	5.33	
50.00	-5.97	0.81	-2.44	0.12	1.19	0.03	10.15	-7.68	-21.58	-10.07	-21.26	7.69	0.00	11.21	-5.88	-8.97	-10.87	-21.20	3.57	0.00	-13.26	-2.10	5.35	
51.00	-5.71	0.83	-2.58	0.12	1.18	0.03	10.27	-7.90	-20.82	-10.77	-21.63	8.73	0.00	11.23	-6.11	-8.17	-11.61	-21.44	4.01	0.00	-13.37	-2.15	5.36	
52.00	-5.53	0.85	-2.71	0.12	1.18	0.03	10.46	-8.09	-20.03	-11.26	-21.88	9.70	0.00	11.32	-6.34	-7.64	-12.16	-21.64	3.97	0.00	-13.41	-2.22	5.31	
53.00	-5.42	0.90	-2.84	0.11	1.16	0.03	10.77	-8.28	-19.30	-11.65	-22.11	10.08	0.00	11.53	-6.54	-7.16	-12.65	-21.58	3.70	0.00	-13.45	-2.30	5.23	
54.00	-5.43	0.94	-2.91	0.11	1.14	0.03	11.38	-8.52	-18.61	-12.62	-20.17	10.36	0.00	12.06	-6.77	-6.82	-13.68	-19.59	3.67	0.00	-13.43	-2.37	5.13	
55.00	-5.70	0.96	-2.90	0.11	1.12	0.03	12.56	-8.78	-18.09	-14.18	-17.96	10.61	0.00	13.23	-7.10	-6.68	-15.21	-18.03	3.99	0.00	-13.29	-2.42	4.95	
56.00	-5.88	0.92	-2.84	0.11	1.09	0.03	14.17	-9.13	-17.52	-17.06	-13.50	11.46	0.00	14.95	-7.59	-6.57	-18.43	-13.09	5.33	0.00	-13.72	-2.41	4.78	
57.00	-6.39	0.78	-2.87	0.10	1.06	0.03	16.75	-9.43	-16.88	-21.32	-6.83	12.36	0.00	17.74	-8.40	-6.66	-22.96	-6.94	7.20	0.00	-14.16	-2.29	4.78	
