gaitPhase	pelvis_tilt	pelvis_list	pelvis_rotation	pelvis_tx	pelvis_ty	pelvis_tz	hip_flexion_r	hip_adduction_r	hip_rotation_r	knee_angle_r	ankle_angle_r	subtalar_angle_r	mtp_angle_r	hip_flexion_l	hip_adduction_l	hip_rotation_l	knee_angle_l	ankle_angle_l	subtalar_angle_l	mtp_angle_l	lumbar_extension	lumbar_bending	lumbar_rotation	
0.00	5.66	0.34	1.85	0.07	0.09	0.02	23.95	2.86	4.37	30.55	14.15	2.70	0.00	24.41	1.03	1.77	29.64	13.46	5.89	0.00	7.24	1.03	1.23	
0.00	5.56	0.30	1.84	0.07	0.09	0.02	23.82	2.83	4.37	30.65	14.19	2.67	0.00	24.24	1.00	1.61	29.69	13.50	5.87	0.00	7.32	1.01	1.23	
0.00	5.46	0.25	1.80	0.06	0.09	0.02	23.64	2.76	4.37	30.64	14.13	2.61	0.00	24.04	1.02	1.51	29.66	13.48	5.83	0.00	7.30	0.96	1.19	
0.00	5.28	0.25	1.79	0.06	0.09	0.02	23.28	2.67	4.38	30.48	14.03	2.54	0.00	23.67	1.07	1.51	29.50	13.38	5.73	0.00	7.32	0.95	1.18	
0.00	5.08	0.30	1.74	0.06	0.09	0.02	22.78	2.56	4.37	30.12	13.82	2.46	0.00	23.16	1.14	1.53	29.16	13.19	5.56	0.00	7.31	1.00	1.13	
0.00	4.86	0.39	1.67	0.06	0.09	0.02	22.14	2.42	4.37	29.53	13.53	2.41	0.00	22.55	1.22	1.65	28.71	12.96	5.39	0.00	7.23	1.08	1.06	
0.00	4.62	0.42	1.59	0.06	0.09	0.02	21.35	2.20	4.38	28.73	13.11	2.34	0.00	21.79	1.28	1.75	28.04	12.63	5.13	0.00	7.11	1.15	1.01	
0.00	4.38	0.45	1.50	0.06	0.09	0.02	20.46	1.96	4.41	27.73	12.61	2.22	0.00	20.95	1.33	1.87	27.26	12.27	4.82	0.00	6.94	1.23	0.98	
0.00	4.13	0.38	1.43	0.05	0.09	0.02	19.48	1.73	4.36	26.59	12.05	2.17	0.00	20.05	1.39	2.07	26.35	11.79	4.53	0.00	6.72	1.22	0.94	
0.00	3.87	0.34	1.39	0.05	0.08	0.02	18.42	1.57	4.29	25.39	11.44	2.20	0.00	19.03	1.45	2.26	25.30	11.21	4.20	0.00	6.48	1.18	0.87	
0.00	3.62	0.33	1.37	0.05	0.08	0.02	17.29	1.48	4.19	24.14	10.81	2.30	0.00	17.87	1.57	2.41	24.07	10.53	3.87	0.00	6.24	1.16	0.81	
0.00	3.42	0.35	1.39	0.05	0.08	0.02	16.13	1.40	3.98	22.78	10.10	2.40	0.00	16.66	1.76	2.51	22.73	9.88	3.53	0.00	5.94	1.17	0.80	
0.00	3.24	0.40	1.40	0.04	0.08	0.02	14.95	1.27	3.77	21.34	9.35	2.51	0.00	15.44	1.98	2.50	21.31	9.20	3.23	0.00	5.60	1.20	0.83	
0.00	3.07	0.42	1.41	0.04	0.07	0.02	13.72	1.16	3.53	19.82	8.60	2.55	0.00	14.20	2.16	2.46	19.86	8.42	2.86	0.00	5.22	1.21	0.93	
0.00	2.92	0.38	1.40	0.04	0.07	0.02	12.47	1.08	3.33	18.25	7.83	2.58	0.00	12.87	2.30	2.32	18.35	7.63	2.44	0.00	4.84	1.13	1.11	
0.00	2.79	0.39	1.59	0.04	0.06	0.02	11.25	0.98	3.07	16.70	7.03	2.58	0.00	11.57	2.38	2.30	16.75	6.83	2.09	0.00	4.40	1.08	1.30	
0.00	2.66	0.37	1.73	0.03	0.06	0.02	9.99	0.92	2.85	15.11	6.19	2.56	0.00	10.19	2.42	2.26	15.08	6.05	1.85	0.00	3.97	1.06	1.42	
0.00	2.55	0.39	1.81	0.03	0.05	0.02	8.66	0.87	2.60	13.47	5.37	2.51	0.00	8.85	2.44	2.20	13.42	5.19	1.78	0.00	3.57	1.05	1.44	
0.00	2.53	0.38	1.89	0.03	0.05	0.02	7.45	0.81	2.31	11.88	4.59	2.42	0.00	7.62	2.47	2.17	11.83	4.33	1.80	0.00	3.14	1.03	1.43	
0.00	2.54	0.37	1.94	0.03	0.04	0.02	6.38	0.80	2.00	10.35	3.86	2.30	0.00	6.57	2.47	2.11	10.27	3.65	1.84	0.00	2.68	0.99	1.41	
0.00	2.60	0.34	1.97	0.03	0.04	0.02	5.65	0.84	1.82	8.99	3.26	2.17	0.00	5.88	2.41	2.01	8.91	3.14	1.86	0.00	2.20	0.98	1.41	
0.00	2.66	0.39	1.97	0.03	0.04	0.02	5.40	0.82	1.70	7.94	2.77	2.08	0.00	5.80	2.36	2.15	7.96	2.59	1.85	0.00	1.74	0.97	1.42	
0.00	2.77	0.43	2.00	0.02	0.04	0.02	5.72	0.80	1.81	7.40	2.35	2.00	0.00	6.25	2.34	2.43	7.52	2.15	1.78	0.00	1.49	0.95	1.47	
0.00	2.89	0.45	2.06	0.02	0.04	0.02	6.57	0.78	2.08	7.58	2.06	1.96	0.00	7.12	2.36	2.75	7.69	2.09	1.73	0.00	1.50	0.90	1.56	
0.00	3.03	0.48	2.12	0.02	0.05	0.02	7.78	0.80	2.44	8.48	2.11	1.94	0.00	8.35	2.40	3.12	8.56	2.33	1.68	0.00	1.81	0.88	1.62	
0.00	3.19	0.51	2.12	0.02	0.05	0.02	9.19	0.83	2.89	9.97	2.61	1.91	0.00	9.83	2.43	3.55	10.06	2.81	1.66	0.00	2.33	0.87	1.61	
0.00	3.35	0.84	2.11	0.02	0.06	0.02	10.68	0.86	3.33	11.93	3.59	1.91	0.00	11.42	2.45	4.05	12.00	3.75	1.58	0.00	3.06	1.09	1.55	
0.00	3.51	1.34	2.04	0.02	0.07	0.02	12.12	0.88	3.76	14.17	5.09	1.92	0.00	13.13	2.54	4.69	14.27	5.18	1.48	0.00	3.95	1.88	1.48	
0.00	3.63	1.39	2.03	0.02	0.09	0.02	13.73	0.89	4.21	16.80	7.18	1.93	0.00	14.84	2.75	5.06	16.88	7.13	1.51	0.00	4.76	1.86	1.36	
0.00	3.68	1.45	2.01	0.02	0.10	0.02	15.28	0.93	4.59	19.69	10.08	1.83	0.00	16.52	3.10	5.34	19.78	9.83	1.85	0.00	5.51	1.88	1.26	
0.00	3.71	1.39	2.15	0.02	0.11	0.02	16.88	1.02	5.15	22.70	13.98	1.76	0.00	18.05	3.58	5.30	22.85	13.54	2.80	0.00	6.14	1.54	1.15	
0.00	3.69	1.43	2.12	0.02	0.12	0.02	18.07	1.14	5.61	25.52	18.82	1.99	0.00	19.35	3.99	5.37	25.71	18.02	4.28	0.00	6.69	1.56	1.07	
0.00	3.98	1.04	1.88	0.02	0.13	0.01	19.33	1.22	6.32	27.88	23.14	2.68	0.00	20.55	4.33	5.18	28.07	22.31	5.87	0.00	6.52	0.86	1.03	
0.00	4.01	1.08	1.81	0.02	0.14	0.01	19.98	1.36	6.57	29.63	25.56	3.24	0.00	21.29	4.49	5.22	29.87	24.73	6.88	0.00	6.82	0.92	1.09	
0.00	4.08	1.07	1.75	0.03	0.15	0.01	20.33	1.43	6.52	30.28	25.01	3.64	0.00	21.66	4.64	5.17	30.53	24.08	7.44	0.00	6.90	0.95	1.09	
0.00	4.10	1.10	1.68	0.03	0.15	0.01	20.29	1.40	6.22	30.18	24.07	4.16	0.00	21.60	4.91	4.87	30.47	23.01	7.67	0.00	6.88	1.00	0.95	
0.00	4.05	1.20	1.58	0.03	0.15	0.01	20.00	1.45	5.88	29.99	24.60	4.57	0.00	21.33	5.23	4.38	30.40	23.48	7.68	0.00	6.77	1.04	0.77	
0.00	4.00	1.27	1.52	0.03	0.15	0.01	19.54	1.59	5.61	29.78	26.19	4.84	0.00	20.83	5.48	3.96	30.28	25.18	7.98	0.00	6.25	1.02	0.65	
0.00	3.72	1.31	1.47	0.03	0.15	0.01	18.62	1.86	5.39	29.70	28.33	5.27	0.00	19.85	5.49	3.74	30.18	27.58	8.87	0.00	6.10	1.00	0.62	
0.00	3.48	1.25	1.38	0.03	0.15	0.01	17.37	2.31	5.18	28.74	28.65	5.72	0.00	18.49	5.12	3.89	29.01	28.27	9.29	0.00	5.57	1.08	0.90	
0.00	3.26	1.20	1.48	0.03	0.14	0.01	15.32	2.47	4.93	25.31	24.26	5.64	0.00	16.42	4.60	4.52	25.75	24.56	8.26	0.00	5.07	1.13	1.47	
0.00	3.05	1.15	1.58	0.03	0.13	0.01	13.03	2.13	4.52	21.08	20.92	5.06	0.00	14.00	4.06	4.44	21.41	20.85	7.19	0.00	4.33	1.06	1.85	
0.00	2.74	1.05	1.67	0.03	0.12	0.01	10.89	1.75	3.54	17.60	18.63	4.00	0.00	11.76	3.50	4.16	17.70	18.57	5.94	0.00	3.39	0.99	2.05	
0.00	2.39	0.97	1.68	0.02	0.11	0.01	8.60	1.30	2.89	14.67	17.15	3.21	0.00	9.32	2.96	3.78	14.51	16.54	4.60	0.00	2.98	1.06	2.01	
0.00	2.13	0.85	1.69	0.02	0.09	0.01	6.39	1.02	2.65	11.63	14.30	2.74	0.00	6.90	2.38	3.42	11.24	13.85	3.28	0.00	2.24	1.11	2.04	
0.00	2.06	0.72	1.72	0.02	0.08	0.01	4.31	0.78	2.26	7.37	7.72	2.19	0.00	4.50	1.79	3.28	6.92	7.66	1.77	0.00	1.54	1.13	2.01	
0.00	1.98	0.72	1.77	0.02	0.06	0.01	2.60	0.68	2.14	3.24	2.72	1.75	0.00	2.66	1.45	2.36	3.11	2.68	1.89	0.00	0.95	1.16	1.94	
0.00	1.81	0.76	1.79	0.02	0.05	0.01	1.64	1.31	2.62	3.38	5.35	1.91	0.00	1.56	1.22	1.36	3.17	5.16	2.37	0.00	0.80	1.12	1.75	
0.00	1.78	0.77	1.77	0.02	0.04	0.01	1.81	1.60	3.63	3.92	4.37	2.20	0.00	1.53	0.88	2.64	3.50	4.25	2.48	0.00	0.69	1.07	1.52	
0.00	1.74	0.79	1.66	0.02	0.04	0.01	2.06	1.55	3.86	2.86	3.84	2.90	0.00	1.56	0.70	2.36	2.54	3.51	2.84	0.00	0.79	1.02	1.30	
0.00	1.68	0.82	1.48	0.02	0.04	0.01	2.34	1.50	3.42	1.68	2.87	2.68	0.00	1.68	0.63	1.77	1.69	2.56	2.62	0.00	0.90	0.91	1.08	
0.00	1.62	0.83	1.29	0.02	0.05	0.01	2.67	1.43	2.73	1.67	1.87	1.84	0.00	1.95	0.61	1.37	1.68	1.36	2.10	0.00	1.08	0.84	0.98	
0.00	1.59	0.79	1.18	0.03	0.07	0.01	3.17	1.32	2.19	2.63	1.49	1.44	0.00	2.53	0.64	1.46	2.52	0.71	1.46	0.00	1.33	0.84	1.03	
0.00	1.55	0.76	1.15	0.03	0.08	0.01	4.05	1.32	1.76	4.70	5.21	2.01	0.00	3.73	0.76	1.54	4.98	5.71	1.58	0.00	1.40	0.91	1.15	
0.00	2.08	0.84	1.22	0.03	0.10	0.01	5.57	1.34	1.59	7.38	10.89	2.85	0.00	5.49	1.01	1.65	7.71	10.69	2.46	0.00	1.47	0.86	1.12	
0.00	2.32	0.95	1.25	0.03	0.11	0.01	7.36	1.47	2.05	10.69	16.05	2.99	0.00	7.54	1.47	1.71	11.28	16.02	3.85	0.00	1.86	0.87	1.10	
0.00	2.94	1.02	1.34	0.04	0.12	0.01	9.92	1.56	1.82	14.70	21.73	3.47	0.00	10.42	2.39	1.77	15.77	21.16	5.20	0.00	2.22	1.18	0.90	
0.00	3.61	1.12	1.58	0.04	0.13	0.01	12.98	1.64	1.95	19.12	25.52	3.37	0.00	13.81	3.47	1.66	20.45	24.51	6.27	0.00	2.79	1.45	1.01	
0.00	3.91	1.28	1.76	0.04	0.13	0.01	15.82	1.84	2.62	23.29	26.77	3.36	0.00	16.59	4.05	1.18	23.93	25.78	6.94	0.00	3.88	1.58	1.23	
0.00	4.15	1.37	1.99	0.05	0.13	0.01	17.64	1.91	3.11	25.06	23.74	4.27	0.00	18.23	4.31	1.29	25.21	22.69	6.74	0.00	4.75	1.55	1.41	
0.00	4.25	1.26	2.19	0.05	0.13	0.01	18.10	1.72	3.28	24.90	23.83	5.51	0.00	18.48	4.32	1.66	24.95	22.37	6.38	0.00	5.38	1.35	1.68	
0.00	4.17	1.14	2.45	0.05	0.12	0.01	17.63	1.48	3.13	23.49	20.39	4.67	0.00	17.99	4.15	2.02	23.68	20.42	5.81	0.00	5.82	1.28	1.91	
0.00	4.15	1.03	2.66	0.05	0.11	0.01	16.74	1.23	2.92	22.14	18.85	4.03	0.00	17.60	3.77	2.32	22.50	18.53	5.72	0.00	5.94	1.08	1.89	
0.00	4.14	0.98	2.83	0.05	0.10	0.02	16.04	1.05	3.05	21.17	19.18	4.27	0.00	16.90	3.36	2.61	21.18	18.04	5.91	0.00	5.87	0.88	1.90	
0.00	4.00	0.92	2.98	0.05	0.08	0.02	14.95	0.87	2.61	18.71	14.18	3.88	0.00	15.52	3.07	2.72	18.55	14.85	5.27	0.00	5.66	0.87	1.99	
0.00	3.81	0.87	3.05	0.04	0.07	0.02	13.54	1.01	2.32	15.66	7.70	3.90	0.00	13.95	2.55	3.22	15.09	8.62	4.27	0.00	5.19	1.01	1.99	
0.00	3.50	0.82	3.03	0.04	0.06	0.01	11.75	1.13	2.20	12.74	3.69	3.94	0.00	12.11	2.04	3.48	12.16	4.38	3.35	0.00	4.68	1.11	1.79	
0.00	3.14	0.70	3.06	0.04	0.05	0.02	9.63	1.01	1.78	9.70	2.54	3.86	0.00	10.12	2.04	3.14	9.76	2.65	2.98	0.00	4.21	1.19	1.71	
0.00	2.90	0.68	2.94	0.04	0.04	0.02	8.02	0.88	1.64	7.80	2.55	3.75	0.00	8.50	2.13	2.85	8.23	2.54	3.10	0.00	3.56	1.26	1.51	
0.00	2.74	0.72	2.75	0.04	0.04	0.02	6.97	0.94	1.57	7.04	2.30	3.61	0.00	7.46	2.19	2.75	7.58	2.34	3.14	0.00	2.86	1.31	1.28	
0.00	2.52	0.71	2.57	0.03	0.03	0.02	6.10	1.00	1.44	6.76	2.34	3.46	0.00	6.58	2.27	2.55	7.33	2.52	3.23	0.00	2.45	1.33	1.12	
0.00	2.31	0.69	2.51	0.03	0.03	0.02	5.38	1.03	1.20	6.77	2.51	3.28	0.00	5.85	2.39	2.27	7.27	2.84	3.29	0.00	2.19	1.27	1.16	
0.00	2.13	0.67	2.48	0.03	0.03	0.02	4.99	1.07	1.05	6.99	2.57	3.17	0.00	5.43	2.48	2.03	7.44	2.94	3.22	0.00	1.84	1.27	1.29	
0.00	2.03	0.70	2.48	0.03	0.03	0.02	4.75	1.10	0.95	7.20	2.68	3.04	0.00	5.25	2.56	1.89	7.66	3.04	3.05	0.00	1.54	1.32	1.44	
0.00	1.95	0.71	2.50	0.03	0.03	0.02	4.56	1.10	0.92	7.41	2.83	2.86	0.00	5.08	2.62	1.75	7.88	3.20	2.82	0.00	1.37	1.32	1.55	
0.00	1.88	0.68	2.52	0.03	0.03	0.02	4.51	1.07	0.94	7.62	2.84	2.69	0.00	5.00	2.70	1.63	8.11	3.26	2.69	0.00	1.33	1.29	1.67	
0.00	1.79	0.64	2.50	0.03	0.03	0.02	4.51	1.02	1.04	7.77	2.78	2.54	0.00	4.96	2.77	1.51	8.28	3.23	2.60	0.00	1.26	1.21	1.76	
0.00	1.79	0.62	2.46	0.03	0.03	0.02	4.55	1.01	1.18	7.87	2.77	2.42	0.00	5.00	2.79	1.42	8.41	3.23	2.50	0.00	1.19	1.16	1.80	
0.00	1.77	0.60	2.40	0.03	0.03	0.02	4.60	1.02	1.29	7.96	2.75	2.31	0.00	5.04	2.78	1.35	8.52	3.21	2.42	0.00	1.12	1.15	1.77	
0.00	1.80	0.58	2.36	0.03	0.03	0.02	4.70	1.05	1.39	8.03	2.72	2.20	0.00	5.14	2.77	1.31	8.60	3.16	2.34	0.00	1.10	1.16	1.75	
0.00	1.86	0.57	2.31	0.03	0.03	0.02	4.86	1.07	1.47	8.15	2.75	2.10	0.00	5.31	2.73	1.33	8.69	3.19	2.26	0.00	1.13	1.16	1.72	
0.00	1.94	0.56	2.26	0.03	0.03	0.02	5.11	1.06	1.54	8.29	2.87	2.01	0.00	5.59	2.69	1.39	8.83	3.25	2.16	0.00	1.26	1.14	1.70	
0.00	2.01	0.55	2.20	0.03	0.04	0.02	5.52	1.03	1.61	8.57	3.05	1.91	0.00	6.03	2.64	1.48	9.08	3.39	2.06	0.00	1.43	1.13	1.66	
0.00	2.15	0.54	2.16	0.03	0.04	0.02	6.17	0.99	1.74	9.09	3.34	1.84	0.00	6.69	2.59	1.63	9.52	3.66	1.92	0.00	1.66	1.12	1.62	
0.00	2.30	0.53	2.13	0.03	0.04	0.02	7.02	0.92	1.93	9.84	3.76	1.80	0.00	7.54	2.54	1.82	10.20	4.05	1.81	0.00	1.96	1.12	1.60	
0.00	2.43	0.54	2.10	0.03	0.05	0.02	8.05	0.89	2.21	10.93	4.35	1.77	0.00	8.60	2.44	2.05	11.20	4.60	1.74	0.00	2.39	1.09	1.54	
0.00	2.60	0.52	2.10	0.04	0.05	0.02	9.29	0.90	2.54	12.32	5.11	1.73	0.00	9.85	2.39	2.26	12.50	5.31	1.79	0.00	2.86	1.07	1.53	
0.00	2.82	0.50	2.11	0.04	0.06	0.02	10.73	0.94	2.95	13.97	6.02	1.72	0.00	11.30	2.34	2.44	14.06	6.14	1.93	0.00	3.29	1.06	1.52	
0.00	3.11	0.48	2.12	0.04	0.06	0.02	12.26	1.03	3.34	15.70	7.00	1.74	0.00	12.88	2.35	2.57	15.75	7.04	2.21	0.00	3.71	1.05	1.55	
0.00	3.45	0.48	2.11	0.04	0.07	0.02	13.83	1.12	3.71	17.48	7.97	1.82	0.00	14.58	2.39	2.66	17.57	7.95	2.58	0.00	4.13	0.99	1.52	
0.00	3.83	0.50	2.14	0.05	0.07	0.02	15.37	1.27	4.05	19.20	8.95	1.88	0.00	16.26	2.46	2.73	19.36	8.88	3.07	0.00	4.51	0.95	1.53	
0.00	4.20	0.53	2.16	0.05	0.08	0.02	16.77	1.43	4.29	20.73	9.78	1.92	0.00	17.80	2.58	2.70	21.01	9.75	3.65	0.00	4.86	0.93	1.56	
0.00	4.58	0.56	2.17	0.05	0.08	0.02	18.07	1.62	4.42	22.08	10.46	1.86	0.00	19.22	2.70	2.59	22.42	10.46	4.26	0.00	5.10	0.95	1.57	
0.00	4.89	0.60	2.16	0.05	0.08	0.02	19.21	1.82	4.58	23.27	10.96	1.79	0.00	20.40	2.77	2.41	23.65	11.03	4.88	0.00	5.37	0.97	1.53	
0.00	5.23	0.59	2.15	0.05	0.08	0.02	20.24	2.08	4.67	24.27	11.30	1.73	0.00	21.48	2.79	2.27	24.65	11.40	5.39	0.00	5.52	0.99	1.55	
0.00	5.55	0.59	2.12	0.06	0.08	0.02	21.11	2.32	4.71	25.06	11.52	1.73	0.00	22.32	2.76	2.20	25.31	11.56	5.75	0.00	5.60	1.02	1.52	
0.00	5.87	0.60	2.09	0.06	0.08	0.02	21.85	2.52	4.74	25.66	11.63	1.79	0.00	23.06	2.68	2.13	25.82	11.57	5.98	0.00	5.60	1.03	1.50	
0.00	6.13	0.60	2.08	0.06	0.08	0.02	22.38	2.68	4.75	26.02	11.64	1.84	0.00	23.61	2.57	2.08	26.14	11.52	6.10	0.00	5.59	1.04	1.52	
0.00	6.32	0.56	2.07	0.06	0.07	0.02	22.66	2.78	4.65	26.08	11.58	1.82	0.00	24.00	2.46	2.05	26.33	11.46	6.31	0.00	5.56	1.01	1.57	
0.00	6.47	0.51	2.04	0.06	0.07	0.02	22.77	2.89	4.57	25.94	11.51	1.83	0.00	24.18	2.33	2.05	26.27	11.42	6.52	0.00	5.53	1.01	1.60	
