gaitPhase	pelvis_tilt	pelvis_list	pelvis_rotation	pelvis_tx	pelvis_ty	pelvis_tz	hip_flexion_r	hip_adduction_r	hip_rotation_r	knee_angle_r	ankle_angle_r	subtalar_angle_r	mtp_angle_r	hip_flexion_l	hip_adduction_l	hip_rotation_l	knee_angle_l	ankle_angle_l	subtalar_angle_l	mtp_angle_l	lumbar_extension	lumbar_bending	lumbar_rotation	
0.00	1.87	0.18	1.31	0.02	0.00	0.00	2.06	0.41	1.29	1.56	1.02	1.10	0.00	2.30	0.38	2.02	1.18	0.77	1.51	0.00	2.56	0.54	1.17	
0.00	1.99	0.17	1.33	0.02	0.00	0.00	2.21	0.40	1.34	1.45	0.95	1.06	0.00	2.41	0.37	1.97	1.10	0.74	1.52	0.00	2.69	0.49	1.15	
0.00	2.16	0.17	1.31	0.02	0.00	0.00	2.46	0.37	1.33	1.32	0.90	0.96	0.00	2.59	0.37	1.80	0.99	0.74	1.45	0.00	2.81	0.47	1.10	
0.00	2.34	0.17	1.26	0.02	0.00	0.00	2.73	0.34	1.21	1.18	0.85	0.77	0.00	2.81	0.37	1.58	0.91	0.73	1.31	0.00	2.95	0.47	1.04	
0.00	2.46	0.15	1.25	0.02	0.00	0.00	3.00	0.31	1.14	1.04	0.76	0.69	0.00	3.03	0.38	1.30	0.92	0.75	1.22	0.00	3.03	0.49	0.99	
0.00	2.59	0.14	1.26	0.02	0.00	0.00	3.29	0.30	1.09	0.87	0.69	0.74	0.00	3.27	0.40	1.18	0.96	0.79	1.19	0.00	3.13	0.51	1.00	
0.00	2.66	0.12	1.27	0.02	0.00	0.00	3.57	0.30	1.08	0.84	0.67	0.88	0.00	3.48	0.39	1.18	1.09	0.89	1.26	0.00	3.16	0.56	0.98	
0.00	2.68	0.11	1.28	0.02	0.00	0.00	3.84	0.34	1.12	1.06	0.73	0.98	0.00	3.68	0.36	1.26	1.14	1.03	1.31	0.00	3.11	0.60	1.00	
0.00	2.66	0.10	1.30	0.02	0.00	0.00	4.07	0.41	1.15	1.44	0.84	1.05	0.00	3.85	0.33	1.37	1.21	1.19	1.33	0.00	3.02	0.64	1.01	
0.00	2.61	0.16	1.40	0.02	0.00	0.00	4.25	0.53	1.14	1.85	0.98	1.05	0.00	4.02	0.35	1.45	1.38	1.35	1.38	0.00	2.91	0.64	1.07	
