gaitPhase	pelvis_tilt	pelvis_list	pelvis_rotation	pelvis_tx	pelvis_ty	pelvis_tz	hip_flexion_r	hip_adduction_r	hip_rotation_r	knee_angle_r	ankle_angle_r	subtalar_angle_r	mtp_angle_r	hip_flexion_l	hip_adduction_l	hip_rotation_l	knee_angle_l	ankle_angle_l	subtalar_angle_l	mtp_angle_l	lumbar_extension	lumbar_bending	lumbar_rotation	
0.00	0.62	0.72	1.11	0.05	0.00	0.01	0.87	1.04	1.66	1.52	1.15	1.57	0.00	1.40	0.97	1.08	0.48	0.76	1.72	0.00	0.36	0.91	0.59	
0.00	0.62	0.73	1.12	0.05	0.00	0.01	0.92	1.11	1.39	1.40	1.32	1.20	0.00	1.46	0.97	1.10	0.51	0.81	1.75	0.00	0.38	0.95	0.67	
0.00	0.63	0.74	1.17	0.05	0.00	0.01	0.93	1.12	1.23	1.24	1.40	0.91	0.00	1.51	0.95	1.10	0.56	0.88	1.76	0.00	0.40	0.97	0.77	
0.00	0.63	0.76	1.22	0.05	0.00	0.01	0.93	1.10	1.15	1.03	1.26	0.81	0.00	1.56	0.95	1.09	0.63	0.97	1.78	0.00	0.41	0.99	0.86	
0.00	0.63	0.82	1.27	0.05	0.00	0.01	0.92	1.14	1.10	0.90	1.12	0.83	0.00	1.61	0.98	1.14	0.72	1.05	1.72	0.00	0.42	1.04	0.90	
0.00	0.63	0.87	1.28	0.05	0.00	0.01	0.91	1.19	1.06	0.86	0.99	0.90	0.00	1.66	1.01	1.13	0.83	1.20	1.64	0.00	0.41	1.08	0.91	
0.00	0.65	0.91	1.32	0.05	0.00	0.01	0.88	1.23	1.07	0.89	0.85	0.95	0.00	1.71	1.03	1.17	0.98	1.32	1.56	0.00	0.42	1.12	0.93	
0.00	0.66	0.92	1.28	0.05	0.00	0.01	0.86	1.23	1.04	1.04	0.88	0.94	0.00	1.74	1.04	1.18	1.17	1.47	1.51	0.00	0.43	1.13	0.88	
0.00	0.66	0.91	1.24	0.05	0.00	0.01	0.88	1.25	1.13	1.23	0.96	0.93	0.00	1.77	1.05	1.17	1.41	1.65	1.48	0.00	0.45	1.14	0.84	
0.00	0.67	0.91	1.18	0.05	0.00	0.01	0.91	1.27	1.22	1.38	0.95	0.92	0.00	1.84	1.08	1.15	1.70	1.81	1.43	0.00	0.44	1.19	0.82	
0.00	0.68	0.93	1.12	0.05	0.00	0.01	0.94	1.29	1.24	1.49	0.94	0.87	0.00	1.90	1.09	1.09	2.01	2.01	1.42	0.00	0.45	1.27	0.79	
0.00	0.68	0.95	1.04	0.05	0.00	0.01	0.98	1.31	1.20	1.61	0.93	0.83	0.00	1.99	1.12	1.04	2.38	2.16	1.41	0.00	0.47	1.36	0.77	
0.00	0.69	1.00	0.98	0.05	0.00	0.01	1.02	1.36	1.12	1.73	0.93	0.84	0.00	2.09	1.17	1.00	2.81	2.21	1.40	0.00	0.48	1.47	0.76	
0.00	0.70	1.04	0.94	0.05	0.00	0.01	1.09	1.40	1.06	1.88	0.96	0.89	0.00	2.23	1.21	0.99	3.29	2.23	1.37	0.00	0.50	1.54	0.77	
0.00	0.72	1.06	0.92	0.05	0.00	0.01	1.15	1.43	1.02	2.04	1.00	0.97	0.00	2.43	1.26	1.00	3.84	2.20	1.35	0.00	0.51	1.60	0.80	
0.00	0.73	1.08	0.90	0.05	0.00	0.01	1.22	1.47	1.01	2.22	1.05	1.07	0.00	2.67	1.30	1.03	4.40	2.15	1.32	0.00	0.52	1.63	0.84	
0.00	0.76	1.09	0.91	0.05	0.00	0.01	1.27	1.49	0.99	2.38	1.10	1.20	0.00	2.93	1.35	1.05	4.99	2.10	1.28	0.00	0.55	1.65	0.90	
